,bio_guide_id,first_name,full_name,gpo_id,honorific,middle_name,person_id,person_id,surname
114,,barry,barry loudermilk,,,,106,,loudermilk
115,,john,john moolenaar,,,,107,,moolenaar
116,,john,john r. moolenaar,2248,,r.,108,,moolenaar
117,,brian,brian babin,,,,109,,babin
118,,don,don beyer,2272,Jr.,,110,,beyer
119,,hon.,hon. barbara comstock,2273,,barbara,111,,comstock
120,,barbara,barbara comstock,,,,112,,comstock
121,,dan,dan newhouse,,,,113,,newhouse
122,,eddie,eddie bernice johnson,,,bernice,114,,johnson
123,,zoe,zoe lofgren,,,,115,,lofgren
124,,frank,frank d. lucas,,,d.,116,,lucas
125,,frank,frank lucas,711,,,117,,lucas
126,,dana,dana rohrabacher,979,,,118,,rohrabacher
127,,hon.,hon. lamar s. smith,1075,,lamar s.,1,,smith
128,,lamar,lamar s. smith,,,s.,2,,smith
129,,randy,randy neugebauer,,,,3,,neugebauer
130,,daniel,daniel lipinski,,,,4,,lipinski
131,,michael,michael t. mccaul,,,t.,5,,mccaul
132,,ed,ed perlmutter,,,,6,,perlmutter
133,,bill,bill foster,,,,7,,foster
134,,donna,donna f. edwards,,,f.,8,,edwards
135,,alan,alan grayson,,,,9,,grayson
136,,bill,bill posey,,,,10,,posey
137,,paul,paul tonko,1942,,,11,,tonko
138,,mo,mo brooks,,,,12,,brooks
139,,randy,randy hultgren,,,,13,,hultgren
140,,bill,bill johnson,2046,,,14,,johnson
141,,suzanne,suzanne bonamici,2092,,,15,,bonamici
142,,thomas,thomas massie,,,,16,,massie
143,,ami,ami bera,,,,17,,bera
144,,eric,eric swalwell,,,,18,,swalwell
145,,mark,mark takano,,,,19,,takano
146,,elizabeth,elizabeth h. esty,,,h.,20,,esty
147,,jim,jim bridenstine,,,,21,,bridenstine
148,,randy,randy k. weber,2161,,k.,22,,weber
149,,marc,marc a. veasey,2166,,a.,23,,veasey
150,,katherine,katherine m. clark,,,m.,24,,clark
151,,gary,gary palmer,,,,25,,palmer
152,,bruce,bruce westerman,,,,26,,westerman
153,,steve,steve knight,,,,27,,knight
154,,barry,barry loudermilk,,,,28,,loudermilk
155,,ralph,ralph lee abraham,,,lee,29,,abraham
156,,john,john r. moolenaar,2248,,r.,30,,moolenaar
157,,brian,brian babin,,,,31,,babin
158,,hon.,hon. barbara comstock,2273,,barbara,32,,comstock
159,,barbara,barbara comstock,,,,33,,comstock
160,,dan,dan newhouse,,,,34,,newhouse
161,,darin,darin lahood,,,,35,,lahood
162,,eddie,eddie bernice johnson,,,bernice,36,,johnson
163,,zoe,zoe lofgren,,,,37,,lofgren
164,,frank,frank d. lucas,,,d.,38,,lucas
165,,dana,dana rohrabacher,979,,,39,,rohrabacher
166,,hon.,hon. lamar s. smith,1075,,lamar s.,1,,smith
167,,lamar,lamar s. smith,,,s.,2,,smith
168,,randy,randy neugebauer,,,,3,,neugebauer
169,,daniel,daniel lipinski,,,,4,,lipinski
170,,michael,michael t. mccaul,,,t.,5,,mccaul
171,,ed,ed perlmutter,,,,6,,perlmutter
172,,bill,bill foster,,,,7,,foster
173,,donna,donna f. edwards,,,f.,8,,edwards
174,,alan,alan grayson,,,,9,,grayson
175,,bill,bill posey,,,,10,,posey
176,,paul,paul tonko,1942,,,11,,tonko
177,,mo,mo brooks,,,,12,,brooks
178,,randy,randy hultgren,,,,13,,hultgren
179,,bill,bill johnson,2046,,,14,,johnson
180,,suzanne,suzanne bonamici,2092,,,15,,bonamici
181,,thomas,thomas massie,,,,16,,massie
182,,ami,ami bera,,,,17,,bera
183,,eric,eric swalwell,,,,18,,swalwell
184,,mark,mark takano,,,,19,,takano
185,,elizabeth,elizabeth h. esty,,,h.,20,,esty
186,,jim,jim bridenstine,,,,21,,bridenstine
187,,randy,randy k. weber,2161,,k.,22,,weber
188,,marc,marc a. veasey,2166,,a.,23,,veasey
189,,katherine,katherine m. clark,,,m.,24,,clark
190,,gary,gary palmer,,,,25,,palmer
191,,bruce,bruce westerman,,,,26,,westerman
192,,steve,steve knight,,,,27,,knight
193,,barry,barry loudermilk,,,,28,,loudermilk
194,,ralph,ralph lee abraham,,,lee,29,,abraham
195,,john,john r. moolenaar,2248,,r.,30,,moolenaar
196,,brian,brian babin,,,,31,,babin
197,,hon.,hon. barbara comstock,2273,,barbara,32,,comstock
198,,barbara,barbara comstock,,,,33,,comstock
199,,dan,dan newhouse,,,,34,,newhouse
200,,darin,darin lahood,,,,35,,lahood
201,,eddie,eddie bernice johnson,,,bernice,36,,johnson
202,,zoe,zoe lofgren,,,,37,,lofgren
203,,frank,frank d. lucas,,,d.,38,,lucas
204,,dana,dana rohrabacher,979,,,39,,rohrabacher
205,,hon.,hon. lamar s. smith,1075,,lamar s.,1,,smith
206,,lamar,lamar s. smith,,,s.,2,,smith
207,,randy,randy neugebauer,,,,3,,neugebauer
208,,daniel,daniel lipinski,,,,4,,lipinski
209,,michael,michael t. mccaul,,,t.,5,,mccaul
210,,ed,ed perlmutter,,,,6,,perlmutter
211,,bill,bill foster,,,,7,,foster
212,,donna,donna f. edwards,,,f.,8,,edwards
213,,alan,alan grayson,,,,9,,grayson
214,,bill,bill posey,,,,10,,posey
215,,paul,paul tonko,1942,,,11,,tonko
216,,mo,mo brooks,,,,12,,brooks
217,,randy,randy hultgren,,,,13,,hultgren
218,,bill,bill johnson,2046,,,14,,johnson
219,,suzanne,suzanne bonamici,2092,,,15,,bonamici
220,,thomas,thomas massie,,,,16,,massie
221,,ami,ami bera,,,,17,,bera
222,,eric,eric swalwell,,,,18,,swalwell
223,,mark,mark takano,,,,19,,takano
224,,elizabeth,elizabeth h. esty,,,h.,20,,esty
225,,jim,jim bridenstine,,,,21,,bridenstine
226,,randy,randy k. weber,2161,,k.,22,,weber
227,,marc,marc a. veasey,2166,,a.,23,,veasey
228,,katherine,katherine m. clark,,,m.,24,,clark
229,,gary,gary palmer,,,,25,,palmer
230,,bruce,bruce westerman,,,,26,,westerman
231,,steve,steve knight,,,,27,,knight
232,,barry,barry loudermilk,,,,28,,loudermilk
233,,ralph,ralph lee abraham,,,lee,29,,abraham
234,,john,john r. moolenaar,2248,,r.,30,,moolenaar
235,,brian,brian babin,,,,31,,babin
236,,hon.,hon. barbara comstock,2273,,barbara,32,,comstock
237,,barbara,barbara comstock,,,,33,,comstock
238,,dan,dan newhouse,,,,34,,newhouse
239,,darin,darin lahood,,,,35,,lahood
240,,eddie,eddie bernice johnson,,,bernice,36,,johnson
241,,zoe,zoe lofgren,,,,37,,lofgren
242,,frank,frank d. lucas,,,d.,38,,lucas
243,,dana,dana rohrabacher,979,,,39,,rohrabacher
244,,hon.,hon. lamar s. smith,1075,,lamar s.,1,,smith
245,,lamar,lamar s. smith,,,s.,2,,smith
246,,randy,randy neugebauer,,,,3,,neugebauer
247,,daniel,daniel lipinski,,,,4,,lipinski
248,,michael,michael t. mccaul,,,t.,5,,mccaul
249,,ed,ed perlmutter,,,,6,,perlmutter
250,,bill,bill foster,,,,7,,foster
251,,donna,donna f. edwards,,,f.,8,,edwards
252,,alan,alan grayson,,,,9,,grayson
253,,bill,bill posey,,,,10,,posey
254,,paul,paul tonko,1942,,,11,,tonko
255,,mo,mo brooks,,,,12,,brooks
256,,randy,randy hultgren,,,,13,,hultgren
257,,bill,bill johnson,2046,,,14,,johnson
258,,suzanne,suzanne bonamici,2092,,,15,,bonamici
259,,thomas,thomas massie,,,,16,,massie
260,,ami,ami bera,,,,17,,bera
261,,eric,eric swalwell,,,,18,,swalwell
262,,mark,mark takano,,,,19,,takano
263,,elizabeth,elizabeth h. esty,,,h.,20,,esty
264,,jim,jim bridenstine,,,,21,,bridenstine
265,,randy,randy k. weber,2161,,k.,22,,weber
266,,marc,marc a. veasey,2166,,a.,23,,veasey
267,,katherine,katherine m. clark,,,m.,24,,clark
268,,gary,gary palmer,,,,25,,palmer
269,,bruce,bruce westerman,,,,26,,westerman
270,,steve,steve knight,,,,27,,knight
271,,barry,barry loudermilk,,,,28,,loudermilk
272,,ralph,ralph lee abraham,,,lee,29,,abraham
273,,john,john r. moolenaar,2248,,r.,30,,moolenaar
274,,brian,brian babin,,,,31,,babin
275,,hon.,hon. barbara comstock,2273,,barbara,32,,comstock
276,,barbara,barbara comstock,,,,33,,comstock
277,,dan,dan newhouse,,,,34,,newhouse
278,,darin,darin lahood,,,,35,,lahood
279,,eddie,eddie bernice johnson,,,bernice,36,,johnson
280,,zoe,zoe lofgren,,,,37,,lofgren
281,,frank,frank d. lucas,,,d.,38,,lucas
282,,dana,dana rohrabacher,979,,,39,,rohrabacher
283,,hon.,hon. lamar s. smith,1075,,lamar s.,1,,smith
284,,lamar,lamar s. smith,,,s.,2,,smith
285,,randy,randy neugebauer,,,,3,,neugebauer
286,,daniel,daniel lipinski,,,,4,,lipinski
287,,michael,michael t. mccaul,,,t.,5,,mccaul
288,,ed,ed perlmutter,,,,6,,perlmutter
289,,bill,bill foster,,,,7,,foster
290,,donna,donna f. edwards,,,f.,8,,edwards
291,,alan,alan grayson,,,,9,,grayson
292,,bill,bill posey,,,,10,,posey
293,,paul,paul tonko,1942,,,11,,tonko
294,,mo,mo brooks,,,,12,,brooks
295,,randy,randy hultgren,,,,13,,hultgren
296,,bill,bill johnson,2046,,,14,,johnson
297,,suzanne,suzanne bonamici,2092,,,15,,bonamici
298,,thomas,thomas massie,,,,16,,massie
299,,ami,ami bera,,,,17,,bera
300,,eric,eric swalwell,,,,18,,swalwell
301,,mark,mark takano,,,,19,,takano
302,,elizabeth,elizabeth h. esty,,,h.,20,,esty
303,,jim,jim bridenstine,,,,21,,bridenstine
304,,randy,randy k. weber,2161,,k.,22,,weber
305,,marc,marc a. veasey,2166,,a.,23,,veasey
306,,katherine,katherine m. clark,,,m.,24,,clark
307,,gary,gary palmer,,,,25,,palmer
308,,bruce,bruce westerman,,,,26,,westerman
309,,steve,steve knight,,,,27,,knight
310,,barry,barry loudermilk,,,,28,,loudermilk
311,,ralph,ralph lee abraham,,,lee,29,,abraham
312,,john,john r. moolenaar,2248,,r.,30,,moolenaar
313,,brian,brian babin,,,,31,,babin
314,,hon.,hon. barbara comstock,2273,,barbara,32,,comstock
315,,barbara,barbara comstock,,,,33,,comstock
316,,dan,dan newhouse,,,,34,,newhouse
317,,darin,darin lahood,,,,35,,lahood
318,,eddie,eddie bernice johnson,,,bernice,36,,johnson
319,,zoe,zoe lofgren,,,,37,,lofgren
320,,frank,frank d. lucas,,,d.,38,,lucas
321,,dana,dana rohrabacher,979,,,39,,rohrabacher
322,,hon.,hon. lamar s. smith,1075,,lamar s.,1,,smith
323,,lamar,lamar s. smith,,,s.,2,,smith
324,,randy,randy neugebauer,,,,3,,neugebauer
325,,daniel,daniel lipinski,,,,4,,lipinski
326,,michael,michael t. mccaul,,,t.,5,,mccaul
327,,ed,ed perlmutter,,,,6,,perlmutter
328,,bill,bill foster,,,,7,,foster
329,,donna,donna f. edwards,,,f.,8,,edwards
330,,alan,alan grayson,,,,9,,grayson
331,,bill,bill posey,,,,10,,posey
332,,paul,paul tonko,1942,,,11,,tonko
333,,mo,mo brooks,,,,12,,brooks
334,,randy,randy hultgren,,,,13,,hultgren
335,,bill,bill johnson,2046,,,14,,johnson
336,,suzanne,suzanne bonamici,2092,,,15,,bonamici
337,,thomas,thomas massie,,,,16,,massie
338,,ami,ami bera,,,,17,,bera
339,,eric,eric swalwell,,,,18,,swalwell
340,,mark,mark takano,,,,19,,takano
341,,elizabeth,elizabeth h. esty,,,h.,20,,esty
342,,jim,jim bridenstine,,,,21,,bridenstine
343,,randy,randy k. weber,2161,,k.,22,,weber
344,,marc,marc a. veasey,2166,,a.,23,,veasey
345,,katherine,katherine m. clark,,,m.,24,,clark
346,,gary,gary palmer,,,,25,,palmer
347,,bruce,bruce westerman,,,,26,,westerman
348,,steve,steve knight,,,,27,,knight
349,,barry,barry loudermilk,,,,28,,loudermilk
350,,ralph,ralph lee abraham,,,lee,29,,abraham
351,,john,john r. moolenaar,2248,,r.,30,,moolenaar
352,,brian,brian babin,,,,31,,babin
353,,hon.,hon. barbara comstock,2273,,barbara,32,,comstock
354,,barbara,barbara comstock,,,,33,,comstock
355,,dan,dan newhouse,,,,34,,newhouse
356,,darin,darin lahood,,,,35,,lahood
357,,eddie,eddie bernice johnson,,,bernice,36,,johnson
358,,zoe,zoe lofgren,,,,37,,lofgren
359,,frank,frank d. lucas,,,d.,38,,lucas
360,,dana,dana rohrabacher,979,,,39,,rohrabacher
361,,hon.,hon. lamar s. smith,1075,,lamar s.,40,,smith
362,,randy,randy neugebauer,,,,41,,neugebauer
363,,daniel,daniel lipinski,,,,42,,lipinski
364,,michael,michael t. mccaul,,,t.,43,,mccaul
365,,ed,ed perlmutter,,,,44,,perlmutter
366,,bill,bill foster,,,,45,,foster
367,,donna,donna f. edwards,,,f.,46,,edwards
368,,alan,alan grayson,,,,47,,grayson
369,,bill,bill posey,,,,48,,posey
370,,paul,paul tonko,1942,,,49,,tonko
371,,mo,mo brooks,,,,50,,brooks
372,,randy,randy hultgren,,,,51,,hultgren
373,,bill,bill johnson,2046,,,52,,johnson
374,,suzanne,suzanne bonamici,2092,,,53,,bonamici
375,,thomas,thomas massie,,,,54,,massie
376,,ami,ami bera,,,,55,,bera
377,,eric,eric swalwell,,,,56,,swalwell
378,,mark,mark takano,,,,57,,takano
379,,elizabeth,elizabeth h. esty,,,h.,58,,esty
380,,jim,jim bridenstine,,,,59,,bridenstine
381,,randy,randy k. weber,2161,,k.,60,,weber
382,,marc,marc a. veasey,2166,,a.,61,,veasey
383,,katherine,katherine m. clark,,,m.,62,,clark
384,,gary,gary palmer,,,,63,,palmer
385,,bruce,bruce westerman,,,,64,,westerman
386,,stephen,stephen knight,2228,,,65,,knight
387,,barry,barry loudermilk,,,,66,,loudermilk
388,,ralph,ralph lee abraham,,,lee,67,,abraham
389,,john,john r. moolenaar,2248,,r.,68,,moolenaar
390,,brian,brian babin,,,,69,,babin
391,,barbara,barbara comstock,,,,70,,comstock
392,,drain,drain lahood,2295,,,71,,lahood
393,,eddie,eddie bernice johnson,,,bernice,72,,johnson
394,,zoe,zoe lofgren,,,,73,,lofgren
395,,frank,frank d. lucas,,,d.,74,,lucas
396,,dana,dana rohrabacher,979,,,75,,rohrabacher
397,,hon.,hon. lamar s. smith,1075,,lamar s.,76,,smith
398,,lamar,lamar s. smith,,,s.,77,,smith
399,,randy,randy neugebauer,,,,78,,neugebauer
400,,daniel,daniel lipinski,,,,79,,lipinski
401,,michael,michael t. mccaul,,,t.,80,,mccaul
402,,ed,ed perlmutter,,,,81,,perlmutter
403,,bill,bill foster,,,,82,,foster
404,,donna,donna f. edwards,,,f.,83,,edwards
405,,alan,alan grayson,,,,84,,grayson
406,,bill,bill posey,,,,85,,posey
407,,paul,paul tonko,1942,,,86,,tonko
408,,mo,mo brooks,,,,87,,brooks
409,,randy,randy hultgren,,,,88,,hultgren
410,,steven,steven m. palazzo,,,m.,89,,palazzo
411,,bill,bill johnson,2046,,,90,,johnson
412,,suzanne,suzanne bonamici,2092,,,91,,bonamici
413,,thomas,thomas massie,,,,92,,massie
414,,ami,ami bera,,,,93,,bera
415,,eric,eric swalwell,,,,94,,swalwell
416,,mark,mark takano,,,,95,,takano
417,,elizabeth,elizabeth esty,2114,,,96,,esty
418,,elizabeth,elizabeth h. esty,,,h.,97,,esty
419,,jim,jim bridenstine,,,,98,,bridenstine
420,,randy,randy k. weber,2161,,k.,99,,weber
421,,katherine,katherine clark,2196,,,100,,clark
422,,katherine,katherine m. clark,,,m.,101,,clark
423,,gary,gary palmer,,,,102,,palmer
424,,bruce,bruce westerman,,,,103,,westerman
425,,steve,steve knight,,,,104,,knight
426,,hon.,hon. barry loudermilk,2238,,barry,105,,loudermilk
427,,barry,barry loudermilk,,,,106,,loudermilk
428,,john,john moolenaar,,,,107,,moolenaar
429,,john,john r. moolenaar,2248,,r.,108,,moolenaar
430,,brian,brian babin,,,,109,,babin
431,,don,don beyer,2272,Jr.,,110,,beyer
432,,hon.,hon. barbara comstock,2273,,barbara,111,,comstock
433,,barbara,barbara comstock,,,,112,,comstock
434,,dan,dan newhouse,,,,113,,newhouse
435,,eddie,eddie bernice johnson,,,bernice,114,,johnson
436,,zoe,zoe lofgren,,,,115,,lofgren
437,,frank,frank d. lucas,,,d.,116,,lucas
438,,frank,frank lucas,711,,,117,,lucas
439,,dana,dana rohrabacher,979,,,118,,rohrabacher
440,,hon.,hon. lamar s. smith,1075,,lamar s.,1,,smith
441,,lamar,lamar s. smith,,,s.,2,,smith
442,,randy,randy neugebauer,,,,3,,neugebauer
443,,daniel,daniel lipinski,,,,4,,lipinski
444,,michael,michael t. mccaul,,,t.,5,,mccaul
445,,ed,ed perlmutter,,,,6,,perlmutter
446,,bill,bill foster,,,,7,,foster
447,,donna,donna f. edwards,,,f.,8,,edwards
448,,alan,alan grayson,,,,9,,grayson
449,,bill,bill posey,,,,10,,posey
450,,paul,paul tonko,1942,,,11,,tonko
451,,mo,mo brooks,,,,12,,brooks
452,,randy,randy hultgren,,,,13,,hultgren
453,,bill,bill johnson,2046,,,14,,johnson
454,,suzanne,suzanne bonamici,2092,,,15,,bonamici
455,,thomas,thomas massie,,,,16,,massie
456,,ami,ami bera,,,,17,,bera
457,,eric,eric swalwell,,,,18,,swalwell
458,,mark,mark takano,,,,19,,takano
459,,elizabeth,elizabeth h. esty,,,h.,20,,esty
460,,jim,jim bridenstine,,,,21,,bridenstine
461,,randy,randy k. weber,2161,,k.,22,,weber
462,,marc,marc a. veasey,2166,,a.,23,,veasey
463,,katherine,katherine m. clark,,,m.,24,,clark
464,,gary,gary palmer,,,,25,,palmer
465,,bruce,bruce westerman,,,,26,,westerman
466,,steve,steve knight,,,,27,,knight
467,,barry,barry loudermilk,,,,28,,loudermilk
468,,ralph,ralph lee abraham,,,lee,29,,abraham
469,,john,john r. moolenaar,2248,,r.,30,,moolenaar
470,,brian,brian babin,,,,31,,babin
471,,hon.,hon. barbara comstock,2273,,barbara,32,,comstock
472,,barbara,barbara comstock,,,,33,,comstock
473,,dan,dan newhouse,,,,34,,newhouse
474,,darin,darin lahood,,,,35,,lahood
475,,eddie,eddie bernice johnson,,,bernice,36,,johnson
476,,zoe,zoe lofgren,,,,37,,lofgren
477,,frank,frank d. lucas,,,d.,38,,lucas
478,,dana,dana rohrabacher,979,,,39,,rohrabacher
479,,hon.,hon. lamar s. smith,1075,,lamar s.,40,,smith
480,,randy,randy neugebauer,,,,41,,neugebauer
481,,daniel,daniel lipinski,,,,42,,lipinski
482,,michael,michael t. mccaul,,,t.,43,,mccaul
483,,ed,ed perlmutter,,,,44,,perlmutter
484,,bill,bill foster,,,,45,,foster
485,,donna,donna f. edwards,,,f.,46,,edwards
486,,alan,alan grayson,,,,47,,grayson
487,,bill,bill posey,,,,48,,posey
488,,paul,paul tonko,1942,,,49,,tonko
489,,mo,mo brooks,,,,50,,brooks
490,,randy,randy hultgren,,,,51,,hultgren
491,,bill,bill johnson,2046,,,52,,johnson
492,,suzanne,suzanne bonamici,2092,,,53,,bonamici
493,,thomas,thomas massie,,,,54,,massie
494,,ami,ami bera,,,,55,,bera
495,,eric,eric swalwell,,,,56,,swalwell
496,,mark,mark takano,,,,57,,takano
497,,elizabeth,elizabeth h. esty,,,h.,58,,esty
498,,jim,jim bridenstine,,,,59,,bridenstine
499,,randy,randy k. weber,2161,,k.,60,,weber
500,,marc,marc a. veasey,2166,,a.,61,,veasey
501,,katherine,katherine m. clark,,,m.,62,,clark
502,,gary,gary palmer,,,,63,,palmer
503,,bruce,bruce westerman,,,,64,,westerman
504,,stephen,stephen knight,2228,,,65,,knight
505,,barry,barry loudermilk,,,,66,,loudermilk
506,,ralph,ralph lee abraham,,,lee,67,,abraham
507,,john,john r. moolenaar,2248,,r.,68,,moolenaar
508,,brian,brian babin,,,,69,,babin
509,,barbara,barbara comstock,,,,70,,comstock
510,,drain,drain lahood,2295,,,71,,lahood
511,,eddie,eddie bernice johnson,,,bernice,72,,johnson
512,,zoe,zoe lofgren,,,,73,,lofgren
513,,frank,frank d. lucas,,,d.,74,,lucas
514,,dana,dana rohrabacher,979,,,75,,rohrabacher
515,,hon.,hon. lamar s. smith,1075,,lamar s.,76,,smith
516,,lamar,lamar s. smith,,,s.,77,,smith
517,,randy,randy neugebauer,,,,78,,neugebauer
518,,daniel,daniel lipinski,,,,79,,lipinski
519,,michael,michael t. mccaul,,,t.,80,,mccaul
520,,ed,ed perlmutter,,,,81,,perlmutter
521,,bill,bill foster,,,,82,,foster
522,,donna,donna f. edwards,,,f.,83,,edwards
523,,alan,alan grayson,,,,84,,grayson
524,,bill,bill posey,,,,85,,posey
525,,paul,paul tonko,1942,,,86,,tonko
526,,mo,mo brooks,,,,87,,brooks
527,,randy,randy hultgren,,,,88,,hultgren
528,,steven,steven m. palazzo,,,m.,89,,palazzo
529,,bill,bill johnson,2046,,,90,,johnson
530,,suzanne,suzanne bonamici,2092,,,91,,bonamici
531,,thomas,thomas massie,,,,92,,massie
532,,ami,ami bera,,,,93,,bera
533,,eric,eric swalwell,,,,94,,swalwell
534,,mark,mark takano,,,,95,,takano
535,,elizabeth,elizabeth esty,2114,,,96,,esty
536,,elizabeth,elizabeth h. esty,,,h.,97,,esty
537,,jim,jim bridenstine,,,,98,,bridenstine
538,,randy,randy k. weber,2161,,k.,99,,weber
539,,katherine,katherine clark,2196,,,100,,clark
540,,katherine,katherine m. clark,,,m.,101,,clark
541,,gary,gary palmer,,,,102,,palmer
542,,bruce,bruce westerman,,,,103,,westerman
543,,steve,steve knight,,,,104,,knight
544,,hon.,hon. barry loudermilk,2238,,barry,105,,loudermilk
545,,barry,barry loudermilk,,,,106,,loudermilk
546,,john,john moolenaar,,,,107,,moolenaar
