speech_id,previous_speech_id,subsequent_speech_id,hearing_id,conversation,text
2923512,2923511,2923513,19196,2,"    So generally speaking, that criticism is a _x000D_
hoax. [Laughter.]"
2923513,2923512,2923514,19196,2,"    I am sure there are examples, minor examples. _x000D_
But generally speaking, that is not the case."
2923514,2923513,2923515,19196,2,"    So we are the only major developed country in _x000D_
the world that still provides the bulk of our food aid through _x000D_
domestic commodities."
2923515,2923514,2923516,19196,2,"    I think that kind of speaks for itself._x000D_
    I just would like to know, does this make it more difficult _x000D_
for us to coordinate with other multilateral agencies and other _x000D_
donors in really hard-hit areas like Haiti, for example, in _x000D_
dealing with making sure that people have food when they need _x000D_
it?"
2923516,2923515,2923517,19196,2,"    So the other developed countries like us that _x000D_
care deeply about making sure that people have food, they have _x000D_
more flexibility. We are sort of locked in."
2923517,2923516,2923518,19196,2,"    So as the perceived most innovative free _x000D_
nation in the world, we are really behind the rest of the world _x000D_
when it comes to feeding the poor. Is that correct?"
2923518,2923517,2923519,19196,2,"    Listen, thank you for being here, and I look _x000D_
forward to the questions from our distinguished ranking member."
2923519,2923518,2923520,19196,2,"    First of all, I join the chairman in _x000D_
thanking you for your incredible service to this country and to _x000D_
our global goals. It is a challenge because the world is never _x000D_
staying still and the challenges in the countries you are _x000D_
working in become very difficult at times, and you are still _x000D_
able to move forward. So we thank you very much for that._x000D_
    Food aid cargo helps sustain U.S. commercially flagged _x000D_
fleets. There are concerns that if we change cargo preference, _x000D_
we may not be able to sustain the national defense sealift _x000D_
capabilities our military needs without significant additional _x000D_
Federal expenditures._x000D_
    So how do you intend to balance the efficiency issues that _x000D_
you are trying to get in the food program with ensuring that we _x000D_
have adequate sealift capacity?_x000D_
    Did I stump you?"
2923520,2923519,2923521,19196,2,"    Yes. Using U.S.-flagged vessels not only _x000D_
helps U.S. industry, but also helps the Department of Defense _x000D_
to have sealift capacity in the case of a national need. If you _x000D_
reduce the amount of food being shipped by U.S.-flagged _x000D_
vessels, it requires additional commitments by the Department _x000D_
of Defense to make sure that we have sealift capacity available _x000D_
in the case of emergency._x000D_
    So how do you balance to make sure that the U.S. food _x000D_
program is contributing to our ability to be ready in the event _x000D_
of need by merchant marines?"
2923521,2923520,2923522,19196,2,"    That is not consistent with the information _x000D_
I have received, so I would appreciate if you could clarify _x000D_
that in specifics. I would be very interested to get a _x000D_
commitment from the Department of Defense that they would not _x000D_
be seeking additional resources to meet those needs._x000D_
    If that is the case, I think we should have that on the _x000D_
record--that they can maintain their sealift capacity--because _x000D_
that is not consistent with other information that we have _x000D_
received."
2923522,2923521,2923523,19196,2,"    Let me go to my second point and that is _x000D_
that it is critically important that we are working with the _x000D_
international community. We cannot do this alone. But the U.S. _x000D_
Government cannot do it without our NGO partners. They provide _x000D_
a great deal of the help here. Yet, our NGO partners have _x000D_
concern about the legislation that is pending._x000D_
    If we, on one hand, increase the government efficiencies _x000D_
but lose our private partners, the end result is less _x000D_
availability of food aid globally through the U.S. players._x000D_
    So again, we still have concerns from the NGO community. _x000D_
How do you intend to resolve those issues?"
2923523,2923522,2923524,19196,2,"    There is no question there is reform here _x000D_
that they support. But, bottom line, there is still opposition _x000D_
because they believe it takes away their ability to fund their _x000D_
programs, that they need the flexibility. I think we have to _x000D_
work with the NGO community to resolve those issues._x000D_
    I want to get to one other question, which is pretty _x000D_
fundamental. When I first came to the U.S. Congress in 1987, we _x000D_
could not pass a foreign aid bill. There are many reasons we _x000D_
could not do it, but there was a lack of support among the _x000D_
American people in understanding the role that we play in _x000D_
international development assistance as part of our national _x000D_
security budget. That was part of it._x000D_
    But we did not advertise well that the fact that most of _x000D_
the foreign aid is American-produced products. And when that _x000D_
got better understood, we got more support. And we have strong _x000D_
support for this program because U.S. agriculture says, look, _x000D_
we are selling our products. We are selling them to the _x000D_
government. The government is then using it for international _x000D_
development assistance. So it is a win-win situation. And it _x000D_
acts, in many respects, as a countercyclical problem for _x000D_
American farmers. Now we are saying we are going to cut that _x000D_
back._x000D_
    How do you intend to be able to maintain the strong support _x000D_
that we have in this country from the agricultural community _x000D_
when fewer American farm products are going to be used for _x000D_
development assistance?"
2923524,2923523,2923525,19196,2,    Thank you.
2923525,2923524,2923526,19196,2,"    Thank you, Senator._x000D_
    Senator Gardner."
2923526,2923525,2923527,19196,2,"    Thank you, Mr. Chairman._x000D_
    And thank you to the director for being here this morning._x000D_
    I am a little nervous. I see that Senator Coons has stepped _x000D_
out. I have been following him at every single meeting today so _x000D_
far. I do not know what I am missing, so I hope you will let me _x000D_
know, if his staff is here, if there something I should be at._x000D_
    But I do want to thank the director for the opportunity to _x000D_
be here. I have a couple questions for you. I came in halfway _x000D_
through your testimony, so I want to maybe ask some things that _x000D_
you covered in that._x000D_
    In your testimony, you state that while we are getting less _x000D_
for our dollar with the United States in-kind food assistance _x000D_
and the need for food assistance, it talks about we are getting _x000D_
less for our dollar with U.S. in-kind food assistance._x000D_
    What do you mean by that statement? Are you talking about _x000D_
price? You are talking about commodity prices?"
2923527,2923526,2923528,19196,2,    The first number was?
2923528,2923527,2923529,19196,2,"    $400, now it is $1,200."
2923529,2923528,2923530,19196,2,"    And what is a ton of food. You are not _x000D_
just referring to peas, lentils, beans? What you are referring _x000D_
to when you say a ton of food?"
2923530,2923529,2923531,19196,2,    But usually no produce kinds of things?
2923531,2923530,2923532,19196,2,    Apples.
2923532,2923531,2923533,19196,2,"    And that is because of the shipping and _x000D_
the long shipping times."
2923533,2923532,2923534,19196,2,"    Now will that change a little bit because _x000D_
you have some prices down? I think winter wheat is $4.97 a _x000D_
bushel in Byers, CO, today. Corn is down to its probably pre-_x000D_
2007 levels in some places. That changes up and down. It ebbs _x000D_
and flows."
2923534,2923533,2923535,19196,2,"    The study that you cite in your testimony _x000D_
by Dr. Barrett at Cornell talks about buying food in Africa and _x000D_
Asia. It was 34 percent and 20 percent less expensive, _x000D_
respectively._x000D_
    Did that study take into account perhaps farm programs _x000D_
within those countries that may or may not provide certain _x000D_
subsidies to their farmers that they do not here, just out of _x000D_
curiosity?"
2923535,2923534,2923536,19196,2,"    Okay, so you are not talking about buying _x000D_
it for us to use there. We are talking about helping them build _x000D_
a sustainable base of agriculture. That is what you are talking _x000D_
about."
2923536,2923535,2923537,19196,2,"    Okay. I wanted to make sure that is what _x000D_
it was talking about and not simply saying that we are buying _x000D_
it to subsidize._x000D_
    Let us say lentils, what percentage of U.S. production does _x000D_
U.S. food aid represent for the in-kind side of Food for Peace?"
2923537,2923536,2923538,19196,2,"    But it is not 50 percent. We are talking _x000D_
about a very small fraction of U.S. production. I would think _x000D_
that an economist would not argue that you are driving and _x000D_
setting the market price. I would not think that that is the _x000D_
case._x000D_
    So giving you the flexibility that you need to provide more _x000D_
specific or a better form of aid, if that means displacing some _x000D_
kind of in-kind production, it would be better for you and _x000D_
better for our partners, correct?"
2923538,2923537,2923539,19196,2,"    Thank you._x000D_
    And then I may have missed this in your testimony, is there _x000D_
a balance and does it change year by year between in-kind _x000D_
contributions of U.S. aid and cash assistance? How do you _x000D_
prepare for that? I mean, does it depend country by country, _x000D_
situation by situation?"
2923539,2923538,2923540,19196,2,"    It does mean flexibility. Yes, very good. _x000D_
Thank you._x000D_
    Thank you, Mr. Chairman."
2923540,2923539,2923541,19196,2,"    Thank you._x000D_
    I know you were not feeling particularly well when you came _x000D_
in. I hope the response you got today makes you feel a little _x000D_
bit better. We, certainly, thank you for being here._x000D_
    I do want to make a comment, which may generate the need _x000D_
for a response from others, but it is not USAID's job to ensure _x000D_
that our military policy and sealift capacity is met, is it?"
2923541,2923540,2923542,19196,2,"    That is sort of a DOD problem, is it not?"
2923542,2923541,2923543,19196,2,"    I would just say, look, I realize we have _x000D_
some sensibilities that will have to be dealt with. I would _x000D_
hope that the reason Americans, whether they are in the _x000D_
agriculture business or the maritime business or whatever, or _x000D_
the NGO business, especially the NGO business, would support us _x000D_
making changes because other people will not starve._x000D_
    I would hope that people would support this because it is _x000D_
an important American value. And I hope that as we move through _x000D_
this, in spite of the fact that, let us face it, people make a _x000D_
living off U.S. programs, in some cases to the adversity of _x000D_
people who are starving, I would hope we would figure out a way _x000D_
to first prioritize the great work that you are doing and this _x000D_
American value that exists for this program. So thank you._x000D_
    I think there may be a response."
2923543,2923542,2923544,19196,2,"    Thank you, Mr. Chairman. You got my _x000D_
attention, you did._x000D_
    I strongly support our food program and our development _x000D_
assistance programs. I always have. And I would like to see a _x000D_
larger share of the budget and have said that publicly and will _x000D_
continue to support that._x000D_
    I also want to make sure that every dollar we spend is used _x000D_
in the most efficient way. So I agree with the chairman on that _x000D_
point. We cannot justify inefficiencies in any of our programs. _x000D_
So I agree with you._x000D_
    But I regret that many Americans do not share our view of _x000D_
the importance of development assistance and instead say that _x000D_
we have not taken care of problems at home. You have to do that _x000D_
first._x000D_
    We do both, and we could do a better job at both. But our _x000D_
success in these programs depends upon broad support. And the _x000D_
issues that are being raised with the U.S.-flagged vessels, _x000D_
with the NGO community's partnerships, and dealing with the _x000D_
agricultural community, are sensitive issues that I know the _x000D_
chairman understands and ones I think we need to be sensitive _x000D_
to as we try to pass a reform bill._x000D_
    That was my only reason for raising it, but I want to have _x000D_
more efficiencies in the programs. We have broad support for _x000D_
the reforms that are in your proposal by all sectors of the _x000D_
stakeholders._x000D_
    And what I said originally, I think this is an area where _x000D_
we should be able to try to get together on."
2923544,2923543,2923545,19196,2,"    And, as you mentioned, coming in, I am sure, _x000D_
that based on what has happened over the last week, we, _x000D_
certainly, should be able to deal with this._x000D_
    I would say that one of the things that would hit a chord, _x000D_
I think with every American, is using even the same dollars _x000D_
that we are spending--the same dollars that we are spending--to _x000D_
reach millions more to make sure they are not starving. And _x000D_
with the passage of this legislation, we, certainly, could make _x000D_
that happen."
2923545,2923544,2923546,19196,2,"    Thank you, Mr. Chairman. I think it goes _x000D_
back to some of the questions I was asking._x000D_
    In the House of Representatives, I represented a district _x000D_
that was the 11th most-agricultural district out of 435 _x000D_
districts. Colorado has some of the highest wheat- and corn-_x000D_
producing counties in the Nation. Growing up in an implement _x000D_
dealership, I never remember farmers coming in and saying, _x000D_
well, you know, USAID is doing this or that to the program, _x000D_
therefore, I think market prices are going to be dropping _x000D_
today, or we are really going to do well because of it. The _x000D_
talk was what we can continue to do to help our partners._x000D_
    So I think flexibility is key, knowing that it is not about _x000D_
what price is, it is not about the affected market is going to _x000D_
do that day because of a program, because you are talking about _x000D_
1 percent or less of a commodity, and maybe more in some cases, _x000D_
but you are not talking about a market-setting kind of rate. So _x000D_
that should not be a part of the conversation._x000D_
    What ought to be a part of the conversation is giving the _x000D_
tools, the flexibility, and the resources we need to best _x000D_
provide our neighbors around the world with the aid they need _x000D_
so they can grow up with more opportunity instead of less."
2923546,2923545,2923547,19196,2,"    Very good. Thank you._x000D_
    Thank you. Goodbye. [Laughter.]_x000D_
    Okay, we will now turn to our witnesses on the second _x000D_
panel. Our first witness is Mr. David Ray, vice president for _x000D_
policy and advocacy at CARE USA. Mr. Ray has over 20 years of _x000D_
experience working at CARE USA. Founded in 1945, it is one of _x000D_
the largest and oldest humanitarian aid organizations focused _x000D_
on fighting global poverty._x000D_
    CARE USA is an important implementing partner of the Food _x000D_
for Peace program and was an early adopter of some of the food _x000D_
aid programs we are discussing today._x000D_
    I thank you for allowing my daughter to intern with you in _x000D_
Tanzania years ago. It had a huge impact on her life. I thank _x000D_
you._x000D_
    Our second witness is Dr. Vincent Smith, professor of _x000D_
economics at the Montana State University and visiting scholar _x000D_
at the American Enterprise Institute. Dr. Smith's research _x000D_
includes an examination of agricultural science policy, _x000D_
domestic and world commodity markets, risk management, and _x000D_
agricultural trade policy. He has authored nine books and _x000D_
monographs, and published over 100 articles on agriculture and _x000D_
other policy and economic issues._x000D_
    Our third witness is Dr. Stephanie Mercier, a senior policy _x000D_
adviser at the Farm Journal Foundation. Prior to that, Dr. _x000D_
Mercier--am I pronouncing it correctly?--was a chief economist _x000D_
at the Senate Agriculture Committee from 1997 to 2011. Thank _x000D_
you for your service here. She was involved in several reform _x000D_
efforts made to the Food for Peace program._x000D_
    With that, I will recognize Dr. Ray._x000D_
    Thank you all for being here. We look forward to your _x000D_
testimony and your assistance in helping us navigate these _x000D_
issues. Thank you."
2923547,2923546,2923548,19196,3,"    Thank you very much._x000D_
    Dr. Smith."
2923548,2923547,2923549,19196,4,"    Thank you, Doctor._x000D_
    Dr. Mercier."
2923549,2923548,2923550,19196,5,"    Thank you all for your testimony. I think you _x000D_
have all been most helpful. There are not many Americans, I _x000D_
realize, who watch these kinds of panels, but this panel is _x000D_
selected jointly by Republicans and Democrats, and it is _x000D_
amazing to me that the message is exactly the same by the _x000D_
panelists._x000D_
    I want to ask a few questions and then make a statement, _x000D_
and then turn to our ranking member._x000D_
    Dr. Smith, it is my understanding, if I heard you _x000D_
correctly, that 70 percent to 75 percent of the ships moving _x000D_
food aid are not militarily useful. Is that correct?"
2923550,2923549,2923551,19196,5,"    It is my understanding that that number _x000D_
actually could be as much as 40 percent foreign-owned. Is that _x000D_
correct?"
2923551,2923550,2923552,19196,5,"    Yes. So to go down the same path we did with _x000D_
our former witness, first of all, food aid certainly is not _x000D_
designed for national security. But the fact that this actually _x000D_
has significant effect on our national security again is a _x000D_
total hoax. Is that correct? Let me say, mostly a hoax, okay? "
2923552,2923551,2923553,19196,6,"    I have not seen House of Cards, but I _x000D_
understand they say those kinds of things."
2923553,2923552,2923554,19196,6,"    Well, based on the amount of money we are _x000D_
blowing, I think you said we are spending more on shipping than _x000D_
on food."
2923554,2923553,2923555,19196,6,"    These 450 folks could be sent to Tahiti and _x000D_
supported for the rest of their lives better than any of us, _x000D_
and we would still be saving huge amounts of money. So I think _x000D_
we can figure out a way to deal with that."
2923555,2923554,2923556,19196,6,"    Very good._x000D_
    This is for everybody. In recent years, some countries in _x000D_
Africa have received U.S. food aid in the form of U.S. _x000D_
commodities for several years in a row. Do you think this has _x000D_
hampered some recipients' ability to recover from the shock of _x000D_
the initial disaster that they faced? This is for all of you, _x000D_
briefly."
2923556,2923555,2923557,19196,6,"    Listen, again, I want to thank Senator _x000D_
Cardin, Senator Coons, Senator Kaine, Senator Gardner, who was _x000D_
here earlier. I think that we have an opportunity here to work _x000D_
together to solve this problem._x000D_
    I will say that I wish every American could have seen this _x000D_
testimony today. What is happening in food aid in our Nation, _x000D_
for a few special interests that benefit only marginally, is a _x000D_
national disgrace--a national disgrace. I am going to do _x000D_
everything in my power to make sure that every American I come _x000D_
in contact with is aware that a few special interests that have _x000D_
negligible impact, really, on them, but they have this Nation _x000D_
in their grip, people are dying and starving--dying and _x000D_
starving--because of this national disgrace of corporate _x000D_
welfare that is totally unnecessary, totally unnecessary to the _x000D_
beneficiaries._x000D_
    So I thank you for being here. I look forward to working _x000D_
constructively with people on this committee, as we have so _x000D_
much recently, to ensure that our focus here is on making sure _x000D_
that people who are hungry have the basic food elements that _x000D_
they need to survive._x000D_
    Thank you very much._x000D_
    Ranking Member Cardin."
2923557,2923556,2923558,19196,6,"    Evidently, your comments brought in _x000D_
reinforcements. [Laughter.]_x000D_
    As I said earlier, I strongly support a more robust Federal _x000D_
budget for development assistance, including food aid. I am _x000D_
very disappointed that we not only have not had an increase, _x000D_
but we have had a decrease. We should be increasing the size of _x000D_
the pie going to these national security issues and furthering _x000D_
the policies of America. And I want to make sure that every _x000D_
dollar we spend is spent in the most cost-effective, efficient _x000D_
way. So I join the chairman, Senator Coons, and others in that _x000D_
regard._x000D_
    I do feel, though, obligated to respond on the U.S.-flagged _x000D_
issue. I will be the first to acknowledge that I am not an _x000D_
expert on this. I do not serve on the committees that deal with _x000D_
this issue._x000D_
    But let me just quote from the person who is responsible _x000D_
for that, General Paul Selva, who is the current commander in _x000D_
the U.S. Transportation Command who spoke directly about this _x000D_
issue before the Senate Committee on Armed Services on March 19 _x000D_
of this year. He was commenting about the reductions of cargo _x000D_
being used on U.S.-flagged vessels and specifically referenced _x000D_
the reductions in food aid._x000D_
    He said, ``With the recent vessel reductions, the mariner _x000D_
base is at a point where future reductions in U.S.-flagged _x000D_
capacity puts our ability to fully activate, deploy, and _x000D_
sustain forces at increased risk.'' Now, that is the person who _x000D_
is responsible for our defense needs as to what is happening _x000D_
with U.S.-flagged vessels._x000D_
    Now let me quote from Maj. Gen. Kathleen Gainey commenting _x000D_
about our merchant marines as the fourth arm of the Department _x000D_
of Defense and critical to the Nation._x000D_
    So this is a defense issue. I agree with the chairman that _x000D_
food aid's purpose is not national defense from the point of _x000D_
view of the merchant marines. I agree with you on that. But I _x000D_
do think we need to know the impact it has on U.S. readiness._x000D_
    The last point I would mention, quoting from the U.S. _x000D_
Maritime Industry, that the alternative here is to use foreign-_x000D_
flagged vessels for national defense, or for DOD to build, _x000D_
maintain, and operate the requisite vessels itself._x000D_
    I just think that is an issue that we have to be mindful _x000D_
of. I want to make sure our programs are efficient. It is not _x000D_
this committee's specific charge to deal with this issue, but I _x000D_
do think it is a matter that we have to be mindful of as we go _x000D_
through these types of issues._x000D_
    Let me turn my questioning, though, to an issue that we _x000D_
have more harmony on. I have already mentioned that there is a _x000D_
concern when you reduce the amount of local produced products, _x000D_
as far as popular support is concerned. I think that is a fact. _x000D_
It is something we have to deal with._x000D_
    I do believe, though, there is tremendous benefit by local _x000D_
sourcing of agriculture in the host country. I think it gives _x000D_
us an opportunity to develop the type of economy that will be _x000D_
able to sustain itself and grow and provide for its own people. _x000D_
So there are a lot of advantages to local sourcing._x000D_
    I also think it allows us the opportunity to deal with _x000D_
other goals of development assistance, and that is creating the _x000D_
structures within countries to make sure that they deal with _x000D_
corruption and deal with gender equity. In agriculture, that is _x000D_
a very important factor._x000D_
    But when we source locally, we have the opportunity to have _x000D_
a more direct impact and can really make the lasting changes _x000D_
that can bring about stable countries that can take care of _x000D_
their own needs. So I think that is a real important plus for _x000D_
local sourcing._x000D_
    I talked to former administrator Shah about this on several _x000D_
different occasions, as to how we can improve local capacity _x000D_
and build the types of structures that will be in our long-term _x000D_
interest._x000D_
    So I just would welcome the thoughts of any of the _x000D_
panelists as to how we could be more effective in local _x000D_
sourcing to develop the type of sustainable institutions within _x000D_
the host countries that will give real hope for future _x000D_
stability and economic opportunities in these countries."
2923558,2923557,2923559,19196,6,"    That is very beneficial. The gender issue _x000D_
is critical in these countries. Agriculture is an area where _x000D_
there has been huge discrimination against women."
2923559,2923558,2923560,19196,6,"    So it seems to me that if we leverage local _x000D_
sourcing, we can do that with a focus to really make a lasting _x000D_
change, not just feeding hungry people but giving them a future _x000D_
of hope and a much more stable country."
