ID,Topic
220,"Military, National, and Public Service, National Commission on"
221,"Mint, U.S"
222,"Museum and Library Services Board, National"
223,National Security Education Board
224,"National Security Telecommunications Advisory Committee, President's"
225,NBC
226,New York Times
227,Nuclear Waste Technical Review Board
228,"Preservation of America's Heritage Abroad, Commission for the"
229,Presidio Trust
230,Roosevelt Campobello International Park Commission
231,Smithsonian Institution
232,"Trade Policy and Negotiations, Advisory Committee for"
233,Western Hemisphere Drug Policy Commission
234,Woodrow Wilson International Center for Scholars
235,Government Accountability Office
236,Alabama
237,"Jindal, Piyush ""Bobby"""
238,Mississippi
239,"Congo, Democratic Republic of the"
240,"Security Agency, National"
241,Zanzibar
242,Zimbabwe
243,"Background Investigations Bureau, National"
244,Social security and retirement
245,Czech Republic
246,North Africa
247,Open Government Partnership
248,Military Family Month
249,Addresses to the Nation
250,National Physical Fitness and Sports Month
251,Proclamation
252,American Indians and Alaska Natives
253,Canada
254,Central America
255,Colombia
256,Honduras
257,President
258,South America
259,Western Hemisphere
260,Saudi Arabia
261,"Alzheimer's Disease Awareness Month, National"
262,Asia
263,Australia
264,Bill Vetoes
265,Military Compensation and Retirement Modernization Commission
266,Asian American and Pacific Islander Heritage Month
267,"Law Day, U.S.A"
268,South Africa
269,Defense of Marriage Act
270,"Lesbian, Gay, Bisexual, and Transgender Pride Month"
271,Child Soldiers Prevention Act of 2008
272,"Diabetes Month, National"
273,Great Outdoors Month
274,"Family Caregivers Month, National"
275,"Adoption Month, National"
276,Notice
277,"Prayer for Peace, Memorial Day"
278,"Economic Council, National"
279,Edward M. Kennedy Serve America Act
280,Teach for America
281,"Hospice Month, National"
282,Michigan
283,Minnesota
284,South Carolina
285,Chile
286,Address to the Nation
287,"Native American Heritage Month, National"
288,"Labor Relations Act, National"
289,Kentucky
290,"Veterans, Department of"
291,"Vietnam war, 50th anniversary"
292,Vietnam
293,African-American Music Appreciation Month
294,Indonesia
295,"Army, Department of the"
296,"Italian American Foundation, National"
297,Italy
298,Slavery (historical) in U.S
299,"Tax cuts, budgetary effects"
300,Jewish American Heritage Month
301,Girl Scouts of America
302,State Department of
303,"Prayer, National Day of"
304,Columbia
305,Korea
306,Panama
307,"Caribbean-American Heritage Month, National"
308,Asia-Pacific Economic Cooperation (APEC)
309,"Asian Nations, Association of Southeast (ASEAN)"
310,Greece
311,Bolivia
312,Ecuador
313,Veterans Day
314,"Oceans Month, National"
315,Kyrgyzstan
316,Qatar
317,Child tax credit
318,"Economic, national"
319,North Carolina
320,Anti-Defamation League
321,Organizing for Action
322,"Interior, Department of"
323,Oklahoma
324,Jerusalem Embassy Act of 1995
325,"Governors, newly elected, meeting with President"
326,"Rhode Island, Governor-elect"
327,"Arts and Humanities, President's Committee on the"
328,"Decorations, medals and awards"
329,Holy See (Vatican City)
330,"Prayer Breakfast, National"
331,"Tibet, Dalai Lama"
332,Haiti
333,"Chamber of Commerce, U.S"
334,"Faith-Based and Neighborhood Partnerships, President’s Advisory Council for"
335,Cabinet
336,Wounded Warrior Project Soldier Ride
337,"Air Force, Department of the"
338,Utah
339,South Sudan
340,Easter
341,Passover
342,"Peru, Ambassador to U.S"
343,Costa Rica
344,Faith and Freedom Coalition
345,Libya
346,Lebanon
347,"Public Radio, National"
348,"Foreign, policy, U.S"
349,Nevada
350,Independence Day
351,"Navy, Department of the"
352,Assistants to the President
353,"Intelligence, Office of the Director of National"
354,"Veterans Affairs, Department of the"
355,Kenya
356,Access to health and medical care
357,"Civil Aviation Organization, International"
358,Doctors Without Borders/Médecins Sans Frontières (MSF)
359,Federal Reserve System
360,"Arts and Humanities Month, National"
361,Memorial Day
362,"Executive orders, amendments"
363,Space program
364,Exchanges with reporters
365,Global Food Security Act of 2016
366,Announcements
367,Defense Production Act Committee
368,Bermuda
369,Government agencies and employees
370,Directives
371,Health Care and Education Reconciliation  Act of 2010
372,Legislation enacted
373,"Kerry, John F"
374,"Commercial Advocacy, Interagency Task Force on"
375,White House science fair
376,"Integrated Drought Information System, National"
377,Belgium
378,"Georgia, Republic of"
379,Interviews with the News Media
380,Caribbean Nations
381,"Infrastructure, White House Summit, with Governors and mayors"
382,Infrastructure
383,Singapore
384,Poland
385,"Arts and the Humanities, President's Committee on the"
386,"Arts, National Endowment for the"
387,"Humanities, National Endowment for the"
388,North Dakota
389,New Hampshire
390,Rosh Hashanah
391,Consumer Financial Protection Bureau
392,"Fallen Firefighters Foundation, National"
393,Fire Prevention Week
394,Partnership for Economic Progress
395,Address and Remarks
396,Agencies
397,Nebraska
398,AARP
399,"Jerusalem Embassy Act of 1995, suspension of limitations"
400,Library of Congress
401,"Stevens, George, Jr"
402,"Pearl Harbor Remembrance Day, National"
403,National Science Foundation
404,Spain
405,Uganda
406,"Consumer Protection Week, National"
407,Tunisia
408,Guam
409,Albania
410,Botswana
411,Croatia
412,"Monetary Fund, International"
413,United Service Organizations
414,"Economic Co-operation and Development, Organisation for"
415,North American Leaders' Summit
416,Tennessee
417,Older Americans Month
418,Ethiopia
419,Liberia
420,Senegal
421,"Poland "" President Obama's visit"
422,"Export Council, President's"
423,Export-Import Bank of the U.S
424,"Trade Representative, Office of the U.S"
425,Burma
426,Kuwait
427,"Virgin Islands, U.S"
428,Apple
429,Laos
430,IIinois
431,Maldives
432,Denmark
433,"Foreign policy, U.S. Refugee and Migration Assistance Fund, U.S"
434,"Criminal Court, International"
435,"Influenza Vaccination Week, National"
436,Colorado
437,"Papua New Guinea, Prime Minister"
438,"Small island nation leaders, meeting with President Obama"
439,Westwood One Sports Radio Network
440,Education Standards and school accountability
441,AmeriCorps
442,High school dropout prevention programs
443,Low-income students
444,Save Your Vision Week
445,Ramadan
446,White House Correspondents' Association
447,Arkansas
448,"Charter Schools Week, National"
449,Nepal
450,Central African Republic
451,Mali
452,Taiwan
453,"Worker, Homeownership, and Business Assistance Act of 2009"
454,"Food Safety Working Group, President's"
455,"Health Center Week, National"
456,Education jobs and State funding assistance legislation
457,"Economic Recovery Advisory Board, President's"
458,"Skills for America's Future, Task Force on"
459,Communications to Congres
460,"Rifle Association, National"
461,"Governors, Council of"
462,"Berlin Wall, 25th anniversary of fall"
463,"Cameroon, U.S. military detachment"
464,"Djibouti, security cooperation with U.S"
465,Kosovo
466,"Niger, U.S. military detachment"
467,"Prevention, Health Promotion, and Integrative and Public Health, Advisory Group on"
468,"Executive Order 12898, 20th anniversary"
469,Family Smoking Prevention and Tobacco Control Act of 2009
470,"American Samoa, disaster assistance"
471,Appalachian Regional Commission
472,Apple Inc
473,Argentina
474,"Army, U.S"
475,"Atomic Energy Agency, International"
476,Austria
477,"Barbados, U.S. Ambassador"
478,Boy Scouts of America
479,CNBC
480,Commodity Futures Trading Commission
481,"Counterintelligence and Security Center, National"
482,"Disability, National Council on"
483,Economic Report of the President
484,Estonia
485,"Ethics, Office of Government"
486,Facebook
487,Federal Intelligence Surveillance Act (FISA)
488,"Fiji, U.S. Ambassador"
489,"Peace Corps, U.S"
490,Women and girls
491,"Israel Public Affairs Committee, American"
492,Latin America
493,North American Treaty Organization
494,United nations
495,Social Security reform
496,Arctic National Wildlife Refuge
497,"Faith-Based and Neighborhood Partnerships, President's Advisory Council on"
498,"Securities and Exchange Commission, U.S"
499,"Action Network, National"
500,Cinco de Mayo
501,Thailand
502,Ascension Health
503,"Global Fund to Fight AIDS, Tuberculosis and Malaria"
504,Bosnia and Herzegovina
505,Guinea
506,"Foreign Assistance Act of 1961, delegation of authority"
507,Statement by the President
508,"Transportation, Department of the"
509,Child Health Day
510,"Energy Awareness Month, National"
511,Frank R. Wolf International Religious Freedom Act of 2016
512,Rwanda
513,Cote d'Ivoire
514,Niger
515,Planned Parenthood
516,Hurricane Sandy Rebuilding Task Force
517,Arctic National Wildlife Refuge (ANWR)
518,Armenia
519,"Libya, U.S. national emergency, continuation"
520,"International Development, U.S. Agency for"
521,Intellectual Property Enforcement Advisory Committees
522,"Teach for America, Inc"
523,Russia and Moldova Jackson-Vanik Repeal and Sergei Magnitsky Rule of Law Accountability Act of 2012
524,Balanced Budget and Emergency Deficit Control Act of 1985
525,"American Latino, Commission To Study the Potential Creation of a National Museum of the"
526,Belarus
527,"Refugee and Migration Assistance Fund, U.S. Emergency"
528,"Executive Order 13761, amendment"
529,Department of Commerce
530,Department of the Treasury
531,Malaysia
532,Eid al-Fitr
533,Same-sex marriage
534,Refugees and global migrants
535,Brookings Institution
536,Saban Forum
537,"Economic Advisers, Council of"
538,Major Cities Chiefs Association
539,"Cybersecurity, Commission on Enhancing National"
540,"Israel Political Affairs Committee, American"
541,"Russia-U.S. Summit in Vancouver, Canada"
542,White House Easter Egg Roll
543,"Education and Sharing Day, U.S.A"
544,White House Transition Coordinating Council
545,Defense relationship with U.S
546,Global Health Initiative
547,Foreign Intelligence Surveillance Court
548,"Corporation for Community Service, National"
549,"Corporation for National and Community Service, National"
550,"Domestic Energy Development and Permitting in Alaska, Interagency Working Group on Coordination of"
551,White House Summit on Community Colleges
552,Sri Lanka
553,Death
554,Equal Employment Opportunity Commission
555,Diwali
556,Government organizations and employees
557,Intel Corp
558,"Privacy Council, Federal"
559,"Central African Republic, Political unrest and violence"
560,Catholic church
561,Faith-based and community organizations
562,Institute of Medicine
563,"Women’s Day, International"
564,Caribbean nations
565,"Historically Black Colleges and Universities, White House Initiative on"
566,"Sean and David Goldman International Child Abduction Prevention and Return Act of 2014, delegation of authority"
567,"Spain, Taxation Convention, Spain-U.S"
568,Eritrea
569,Joint Statement
570,"Confederate statues and monuments, status of public display"
571,"Nurses Association, American"
572,"Childhood Cancer Awareness Month, National"
573,"Census Bureau, U.S"
574,Algeria
575,"Gulf Coast Ecosystem Restoration, Task Force on"
576,American Academy of Family Physicians
577,American College of Cardiology
578,American College of Pediatricians
579,American College of Physicians
580,American Medical Association
581,Doctors for America
582,National Medical Association
583,Norway
584,World Organisation for Animal Health
585,"Pearl Harbor attack, 75th anniversary"
586,Economy national
587,Easter Prayer Breakfast
588,Macedonia
589,North Atlantic Council
590,"Fitness, Sports and Nutrition, President's Council on"
591,Global Magnitsky Human Rights Accountability Act
592,"Arts and Humanities, President's Committee on"
593,"Historically Black Colleges and Universities Week, National"
594,Djibouti
595,"Labor-Management Relations Program, Federal"
596,"Defense, department of"
597,"Patent and Trademark Office, U.S"
598,Burundi
599,New Mexico
600,"Crocker, Ryan C"
601,Economy
602,Federal Deposit Insurance Corporation (FDIC)
603,"Geithner, Timothy F"
604,Vermont
605,"Cities, National League of"
606,"Rhode Island, Governor"
607,"Vermont, Governor"
608,"Gridiron Club and Foundation Washington, DC"
609,Greek Independence Day
610,World Trade Week
611,White House Mentorship and Leadership Program
612,"Egypt, U.S. military detachment"
613,United Arab Emirates
614,NAACP
615,Presidential Innovation Fellows Program
616,Chad
617,Trading With the Enemy Act
618,"Cabinet, meetings with President"
619,"Prayer and Remembrance, National Days of"
620,Patriot Day and National Day of Service and Remembrance
621,"Czech Republic, supplementary Social Security agreement with U.S"
622,Fortune's Most Powerful Women Summit
623,"Brennan, John O"
624,"Tax Code, reform"
625,"Mentoring Month, National"
626,Tukey
627,"Arts and Humanities, Federal Council on"
628,"Communications Commission, Federal"
629,"Postal Service, U.S"
630,YouTube
631,Irish-American Heritage Month
632,Netherlands
633,"Cancer Control Month, National"
634,"Defense, Department of P"
635,"Pascrell, William J., Jr"
636,World Press Freedom Day
637,PBS
638,"Foreign Policy, U.S"
639,Indonesian
640,World Bank
641,Young Southeast Asian Leaders Initiative
642,"Mental Health, National Conference on"
643,Protect and Preserve International Cultural Property Act
644,"Guinea, women, status"
645,Sweden
646,"South by South Lawn Festival, White House"
647,Human Rights Campaign
648,Marriage
649,"Cybersecurity Awareness Month, National"
650,"Space Station, International"
651,"Credit Union Administration, National"
652,"Florida, President's visits"
653,Ireland
654,El Salvador
655,Surface Transportation Board
656,"Trade Commission, Federal"
657,"State, Department"
658,"Gasoline, oil, and natural gas costs"
659,"Literacy, National Institute for"
660,"Korea, South"
661,"Urban League, National"
662,Young Southeast Asian Leaders Initiative (YSEALI)
663,Serbia
664,"Cesar E. Chavez National Monument, establishment"
665,"Budget, national"
666,German-American Day
667,"Red Cross, American"
668,Trade Facilitation and Trade Enforcement Act of 2015
669,"Switzerland, social security agreement with U.S"
670,"Labor-Management Relations, National Council on Federal"
671,"Economic Recovery Advisory Board, President’s"
672,Brunei
673,"Women's Day, International"
674,"New Jersey Transit Rail, emergency board to investigate labor disputes"
675,Holiday and special observances
676,Holidays and special occasions
677,Pan American Health Organization
678,Asian
679,"Central African Republic, U.S. military detachment"
680,"Grandparents Day, National"
681,White House Summit on Worker Voice
682,"Physician Assistants Week, National"
683,"Martin Luther King, Jr., Federal Holiday"
684,"Kristallnacht, 75th anniversary"
685,"West Virginia, Governor"
686,"Toys for Tots Program, U.S. Marine Corps Reserve"
687,Human Rights Day and Human Rights Week
688,"Human Rights Day, Bill of Rights Day, and Human Rights Week"
689,"Hispanic Chamber of Commerce, U.S"
690,"Workforce Investment Act of 1998, reauthorization"
691,Military Spouse Appreciation Day
692,Tumblr
693,"Personnel Management, Office of"
694,Peace Corps
695,Special Olympics
696,United We Serve initiative
697,"Labor Relations Board, National"
698,"Academy of Sciences, National"
699,"Aeronautics and Space Administration, National"
700,Religious Freedom Day 
701,World Freedom Day
702,Dodd-Frank Wall Street Reform and Consumer Protection Act
703,"Dominican Republic, extradition treaty with U.S"
704,"Standards and Technology, National Institute of"
705,"Fiscal Responsibility and Reform, National Commission on"
706,Los Angeles
707,"D.A.R.E. Day, National"
708,"Hernandez, Jose"
709,"California, President's visits"
710,"Governors Association, National"
711,Washington
712,"Bahamas, El Faro cargo ship, sinking off coast"
713,Leif Erikson Day
714,"Corker, Robert P., Jr"
715,"Arctic, conservation efforts"
716,Arctic
717,Mine Improvement and New Emergency Response (MINER) Act of 2006
718,Supreme Court
719,"Women's Health Week, National"
720,White House
721,"Government departments and agencies, accountability and transparency"
722,Dominican Republic
723,"""Africa"
724,"Women and Girls, White House Council on"
725,"Armed Forces, U.S,"
726,"Environmental Quality, Council on"
727,"Northern Mariana Islands Commonwealth, reservation of submerged lands"
728,"Deposit Insurance Corporation, Federal"
729,"Space Council, National"
730,"Executive Orders 11030, 13653, and 13673, amendments"
731,"Arab States, League of"
732,Geneva Conventions
733,"Red Cross, International"
734,"Montenegro, North Atlantic Treaty Organization, accession bid"
735,Jamaica
736,"Somalia, U.S. national emergency, continuation"
737,"PBS, ""In Performance at the White House"
738,"Former Prisoner of War Recognition Day, National"
739,"Election Integrity, Presidential Advisory Commission on"
740,Democratic party events
741,"Gasoline, oils, and natural gas costs"
742,"Wall, Diane"
743,Peace Officers Memorial Day and Police Week
744,Fox News
745,Twitter
746,"Safe, Accountable, Flexible, Efficient Transportation Equity Act"
747,White House Frontiers Conference
748,White House Science Fair
749,Congressional Hispanic Caucus Institute
750,"Intelligence Authorization Act for Fiscal Year 2010, signing of"
751,Kazakhstan
752,Natural disaster
753,Paralyzed Veterans of America
754,"Chad, U.S. military detachment"
755,Election
756,South by Southwest Interactive Festival
757,High school dropout rate
758,Lilly Ledbetter Fair Pay Act of 2009
759,Bahamas
760,"Budget, Federal Entitlement spending, reform"
761,"Tobacco products, taxation"
762,Finland
763,Iceland
764,"Asian Americans and Pacific Islanders, efforts to increase participation in Federal programs"
765,"Asian Americans and Pacific Islanders, President's Advisory Commission on"
766,Asian Pacific American Institute for Congressional Studies
767,Mother's Day
768,Military Spouse Day
769,"Puerto Rico, public debt, restructuring assistance"
770,Career training and continuing education
771,Housing market
772,Teachers
773,"Summer Learning Day, National"
774,Global competitiveness
775,Payroll tax cut
776,Group of Twenty (G-20) nations
777,ducation
778,"Mayors, U.S. Conference of"
779,Trans-Pacific Partnership
780,Millennium Challenge Accounts
781,Christmas and winter holidays
782,Hanukkah
783,"Obama, Michelle"
784,"Young Leaders of the Americas Initiative, President's"
785,"Nordic States, leaders"
786,"Hispanic Prayer Breakfast, National"
787,"Djibouti, U.S. military detachment"
788,"Uganda, U.S. military detachment"
789,Homeland Security
790,Iran Threat Reduction and Syria Human Rights Act of 2012
791,Clean Diamond Trade Act
792,"Kenya, U.S. military detachment"
793,"Nigeria, U.S. military detachment"
794,"Somalia, U.S. military detachment"
795,Prime Minister
796,Abraham Lincoln Association
797,"Illinois, Governor"
798,Arctic Council
799,"Arctic region, conservation efforts"
800,"Nordic Leaders Summit, U.S.-"
801,Peru
802,Bipartisan Congressional Trade Priorities and Accountability Act of 2015
803,"Communication Commission, Federal"
804,Ike Skelton National Defense Authorization Act for Fiscal Year 2011
805,"HIV Interagency Working Group, Federal"
806,"HIV/AIDS, Presidential Advisory Council on"
807,"Vermont, former U.S. Senator, death"
808,"Illinois, Democratic Party events"
809,"Illinois, President's visit"
810,Nobel Peace Prize
811,"Intelligence and Communications, Review Group on"
812,Privacy and Civil Liberties Oversight Board
813,Overseas Private Investment Corporation
814,Northern Bering Sea
815,"Mayors, newly elected, meeting with President"
816,"Democracy, National Endowment for"
817,"Women entrepreneurs, meeting with President"
818,Battery technology for hybrid automobiles
819,Lithuania
820,"Executive Order 12777, amendments"
821,Cote d’Ivoire
822,"Infrastructure, Presidential Advisory Council on"
823,African Union
824,"Prohibition of Chemical Weapons, Organisation for the"
825,"Social Security Act, 75th anniversary"
826,"State, Department of the"
827,"Slavery and Human Trafficking Prevention Month, National"
828,"Israel, Steven J"
829,Religious leaders
830,Bulgaria
831,"Impaired Driving Prevention Month, National"
832,Delaware
833,Interview With the News Media
834,"Heart Month, American"
835,"Alabama, Governor"
836,Read Across America Day
837,"Highway system, modernization efforts"
838,Recovery Accountability and Transparency Board
839,"Child Abuse Prevention Month, National"
840,House of Representatives
841,Centers for Disease Control
842,immigration and naturalization
843,"Marine Corps, U.S"
844,African Growth and Opportunity Act of 2000
845,Malawi
846,Latvia
847,"Childhood Obesity Awareness Month, National"
848,"Intelligence Advisory Board, President's"
849,"Fuel efficiency standards, strengthening efforts"
850,Keystone XL Pipeline
851,"Armed Forces, U. S"
852,"Armed forces, U.S"
853,Nuclear Weapons Council
854,"Special Counsel, Office of"
855,White House Communications Agency
856,Minnesota World's Fair 2023
857,Timor-Leste
858,"Intelligence, Office of the Director of National, Director of National Intelligence"
859,American Recovery and Reinvestment Act Implementation Conference
860,"Army, Department of"
861,Holocaust Remembrance Day
862,Azerbaijan
863,"David, Eunice"
864,Gabon
865,"Violence Against Women Act, 15th anniversary"
866,"Emergency Board No. 243, Presidential"
867,North American Aerospace Defense Command
868,European Union
869,"Trade Representative, U.S"
870,Army Ranger Lead the Way Fund
871,Jared Allen's Homes for Wounded Warriors
872,Snap-on Inc
873,Statements by the PresidentContiuned
874,Pan American Day and Pan American Week
875,Uruguay
876,Iran Nuclear Agreement Review Act of 2015
877,"Ohio "" Democratic Party events"
878,Montana
879,"Guard and Reserve Week, National Employer Support of the"
880,"American with Disabilities Act, anniversary"
881,General Pulaski Memorial Day
882,"Oklahoma, U.S. Senator, retirement"
883,"Travel and Competitiveness, Task Force on"
884,Kiribati
885,Micronesia
886,"Homeland Security, Department"
887,Bahrain
888,United State of Women Summit
889,White House Council on Women and Girls
890,"South Sudan, U.S. military detachment"
891,"Biden, Jill"
892,"Consumer Financial Protection Bureau, Director"
893,"Lattice Semiconductor Corp., proposed acquisition by China Venture Capital Fund Corp. Ltd"
894,"Southeastern Pennsylvania Transportation Authority labor dispute, emergency board to investigate"
895,Al Qaida terrorist group
896,"School Lunch Week, National"
897,"Cancer Moonshot Task Force, White House"
898,Afghanistan and Pakistan Strategic Partnership Office
899,"Romney, W. Mitt"
900,Portugal
901,Arms Trade Treaty
902,North Atlantic Treaty Organization (NATO)
903,White House Summit on Countering Violent Extremism
904,Business and industry Manufacturing industry
905,Young Leaders of the Americas Initiative
906,Foreign policy U.S
907,New Zealand
908,"Ellow, Matthew"
909,NCAA championship teams
910,"Whaling Commission, International"
911,Columbus Day
912,Congressional Budget Office
913,National Women's Law Center annual award dinner
914,Union for Reform Judaism
915,Laborers' International Union of North America
916,Interviews With the Media
917,"Markey, Edward J"
918,Health and medical  care
919,"Ohio, Governor"
920,"Health and Human services, Department of"
921,Earth Day
922,ESPN2
923,Health and Medical care
924,Veterans of Foreign Wars
925,"""Innocence of Muslims"" film, protests"
926,AFL-CIO
927,Automobile industry
928,"Nuclear Security Summit, 2010"
929,Retail Industry Leaders Association
930,"Islamic Cooperation, Organisation of"
931,Mongolia
932,"Equal Pay Enforcement Task Force, National"
933,"Americans with Disabilities Act, 25th anniversary"
934,"Buffett, Warren E"
935,Federal
936,Health ad medical care
937,Health and medial care
938,"Personnel Management, U.S. Office of"
939,Samoa
940,Idaho
941,"Accountability Office, Government"
942,"Brown, Sherrod C"
943,Economy. national
944,New York City
945,Gap Inc. decision to increase employee wages
946,Ash Wednesday
947,Hungry
948,"Ecuador, President"
949,Developing Countries
950,Nicaragua
951,Oil and gas industry
952,African Growth and Opportunity Act
953,White House Summit on Global Development
954,Captive Nations Week
955,Statements by the The President
956,March for Life
957,"North Korea, role in six-party talks"
958,Tibet
959,"Mentoring Council, Federal"
960,White House Mentorship Program
961,"Laos, President"
962,"Space, Station, International "
963,"Poison Prevention Week, National"
964,"Sexual Assault Awareness Month, National"
965,"Gulf of Mexico, Deepwater Horizon oil spill"
966,White House Summit on Working Families
967,King Kamehameha Day
968,"Chile, extradition treaty with U.S"
969,"Hispanic Heritage Month, National"
970,Countering America's Adversaries Through Sanctions Act of 2017
971,Commodity Credit Corporation
972,"Angel Island Day, National"
973,America Recycles Day
974,Food and Drug Administration
975,Mental Health and Substance Use Disorder Parity Task Force
976,"Russia, President"
977,"Venezuela, political unrest and violence"
978,"Heath and Human Services, Department of"
979,White House Conference on Bullying Prevention
980,"Letters, Messages, Telegrams"
981,"Technology Council, American"
982,Flag Day and National Flag Week
983,TX
984,Nelson Mandela International Day
985,Postsecondary education
986,White House Historical Association
987,Slovakia
988,Hispanic Heritage Month
989,"National Football League, national anthem controversy"
990,World Customs Organization
991,Moldova
992,"Southeast Pennsylvania Transportation Authority, emergency board to investigate labor disputes"
993,"Michael Smerconish Morning Show, The"
994,"Family Research Council, Values Voter Summit"
995,"LaHood, Raymond H"
996,Asia-Pacific
997,"American Antiquities Act of 1906, prior designations, revisions"
998,Charter schools
999,Critical Infrastructure Protection Month
1000,Women's History Month
1001,"Donate Life Month, National"
1002,"Lockett, Clayton D"
1003,Health and medical
1004,"Morris, Taylor"
1005,BlogHer
1006,"Latvia, President"
1007,"Lithuania, President"
1008,"Wilderness Month, National"
1009,U.S. Virgin Islands
1010,Presidency U.S
1011,Iraq Reconciliation efforts
1012,Wright Brothers Day
1013,"Ukraine Freedom Support Act of 2014, delegation of authority"
1014,"Governors Association, Democratic"
1015,"New Hampshire, Governor"
1016,TransCanada
1017,Sunshine Week
1018,"La Raza, National Council of"
