,Title,Memorandum For,Subject,Categories,Subjects,Administration,Date,Date Filed,CPD Number
16,Memorandum on Most-Favored-Nation Trade Status for China,Memorandum for the Secretary of State,"Determination Under Section 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"May 28, 1993",,19930531
17,Memorandum on Trade Agreements,Memorandum for the United States Trade Representative,Presidential Determination Under Section 1105(b)(1) of the Omnibus Trade and Competitiveness Act of 1988,,,William J. Clinton,"May 31, 1993",,19930607
18,"Memorandum on the Withdrawal of Russian Armed Forces from Lithuania, ",Memorandum for the Secretary of State,"Withdrawal of Russian Armed Forces from Lithuania, Latvia, and Estonia",,,William J. Clinton,"May 31, 1993",,19930607
19,"Memorandum on Trade With Albania, Romania, and Certain States of the ",Memorandum for the Secretary of State,"Determination Under Section 402 (d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 2, 1993",,19930607
20,Memorandum on Trade With Bulgaria,Memorandum for the Secretary of State,"Presidential Determination Under Subsections 402(a) and 409(a) of the Trade Act of 1974, as Amended--Emigration Policies of the Republic of Bulgaria",,,William J. Clinton,"June 3, 1993",,19930607
21,Memorandum on Delegation of the Reporting Function for Federal Energy ,Memorandum for the Secretary of Energy,,,,William J. Clinton,"June 23, 1993",,19930628
22,Memorandum on Trade With Mauritania,Memorandum for the United States Trade Representative,Actions Concerning the Generalized System of Preferences,,,William J. Clinton,"June 25, 1993",,19930628
23,Memorandum on Delegation of Authority on Trade With Japan,Memorandum for the United States Trade Representative,Delegation of Authority to Modify or Terminate Title VII Trade Action Taken Against Japan,,,William J. Clinton,"June 29, 1993",,19930705
24,Memorandum on Trade With Romania,Memorandum for the Secretary of State,"Determination Under Section 405(a) of the Trade Act of 1974, as Amended--Romania",,,William J. Clinton,"July 2, 1993",,19930705
25,Memorandum on Assistance for Haiti,"Memorandum for the Secretary of State,",Presidential Determination on Haiti Reconstruction and Reconciliation Fund,,,William J. Clinton,"June 25, 1993",,19930719
26,Memorandum on the Delegation of Authority Regarding Assistance to Africa,Memorandum for the Administrator of the Agency for International Development,Delegation of Authority Regarding the Horn of Africa Recovery and Food Security Act Reporting Requirement,,,William J. Clinton,"July 19, 1993",,19930726
27,Memorandum on Elections in Angola,Memorandum for the Secretary of State,"Certification of Free, Fair, and Democratic Elections in Angola under Section 842 of Public Law 102-484",,,William J. Clinton,"July 19, 1993",,19930726
28,Memorandum on Sales of Depleted Uranium Ammunition to Sweden,Memorandum for the Secretary of State [and] the Secretary of Defense,Military Sales of Depleted Uranium Ammunition,,,William J. Clinton,"July 14, 1993",,19930802
29,Memorandum on Excused Absence for Federal Employees in Disaster Areas,Memorandum for the Heads of Executive Departments and Agencies,Excused Absence for Employees Affected by the Flooding of the Mississippi River and Its Tributaries,,,William J. Clinton,"July 28, 1993",,19930802
30,Memorandum on Importation of Assault Pistols,Memorandum for the Secretary of the Treasury,Importation of Assault Pistols,,,William J. Clinton,"August 11, 1993",,19930816
31,Memorandum on Gun Dealer Licensing,Memorandum for the Secretary of the Treasury,Gun Dealer Licensing,,,William J. Clinton,"August 11, 1993",,19930816
32,Memorandum on Assistance to African Refugees,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(b)(2) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"August 19, 1993",,19930823
33,Memorandum on Assistance to Mozambican Refugees,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended, and Amendment to Presidential Determination 92-39 of August 17, 1992",,,William J. Clinton,"August 19, 1993",,19930823
34,Memorandum on the Combined Federal Campaign,Memorandum for Heads of Departments and Agencies,,,,William J. Clinton,"August 19, 1993",,19930823
35,Memorandum Establishing the President's Community Enterprise Board,"Memorandum for the Vice President, the Secretary of the Treasury, the Attorney General, the Secretary of the Interior, the Secretary of Agriculture, the Secretary of Commerce, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Housing and Urban Development, the Secretary of Transportation, the Secretary of Education, the Administrator of the Environmental Protection Agency, the Director of National Drug Control Policy, the Administrator of the Small Business Administration, the Assistant to the President for Domestic Policy, the Assistant to the President for Economic Policy, the Chair of the Council of Economic Advisers, the Director of the Office of Management and Budget",,,,William J. Clinton,"September 9, 1993",,19930913
36,Memorandum on Defense Assistance to Guyana,Memorandum for the Secretary of State,Eligibility of the Cooperative Republic of Guyana to be Furnished Defense Articles and Services Under the Foreign Assistance Act and the Arms Export Control Act,,,William J. Clinton,"August 30, 1993",,19930920
37,Memorandum on Nuclear Exports to Romania,Memorandum for the Secretary of State,Determination and Waiver of Romania's Ineligibility Under Section 129 of the Atomic Energy Act of 1954 to Receive Certain U.S. Nuclear Exports,,,William J. Clinton,"August 30, 1993",,19930920
38,Memorandum on the Bulgaria-United States Nuclear Cooperation Agreement,"Memorandum for the Secretary of State,",Presidential Determination of the Proposed Agreement Between the United States of America and the Republic of Bulgaria for Cooperation in the Field of Peaceful Uses of Nuclear Energy,,,William J. Clinton,"September 2, 1993",,19930920
39,Memorandum on Streamlining the Bureaucracy,Memorandum for Heads of Departments and Agencies,Streamlining the Bureaucracy,,,William J. Clinton,"September 11, 1993",,19930920
40,Memorandum on the Extension of the Exercise of Certain Authorities Under ,"Memorandum for the Secretary of State,",Extension of the Exercise of Certain Authorities Under the Trading With the Enemy Act,,,William J. Clinton,"September 13, 1993",,19930920
41,Memorandum on Assistance to Jordan,Memorandum for the Secretary of State,Assistance to Jordan,,,William J. Clinton,"September 17, 1993",,19930927
42,Memorandum on Funding for Peacekeeping in Liberia,Memorandum for the Secretary of State,Determination to Authorize the Transfer of Economic Support Fund to the Peacekeeping Operations Fund to Support Regional Peacekeeping for Liberia,,,William J. Clinton,"September 29, 1993",,19931004
43,Memorandum on Agency Rulemaking,Memorandum for Heads of Departments and Agencies,Agency Rulemaking Procedures,,,William J. Clinton,"September 30, 1993",,19931004
44,Memorandum on Negotiated Rulemaking,"Memorandum for Executive Departments and Selected Agencies, Administrator of the Office of Information and Regulatory Affairs",Negotiated Rulemaking,,,William J. Clinton,"September 30, 1993",,19931004
45,Memorandum on Report of Regulatory Review,"Memorandum for the Administrator, Office of Information and Regulatory Affairs",Report of Regulations Reviewed,,,William J. Clinton,"September 30, 1993",,19931004
46,Memorandum on AIDS,Memorandum for the Heads of Executive Departments and Agencies,AIDS at Work,,,William J. Clinton,"September 30, 1993",,19931004
47,Memorandum on Somalia,"Memorandum for the Secretary of State, the Secretary of Defense",Presidential Waiver on Furnishing Assistance to the United Nations to Support the Reestablishment of Police Forces in Somalia,,,William J. Clinton,"October 1, 1993",,19931004
48,Memorandum on Refugee Admissions,Memorandum for the Secretary of State,"Determination of FY 1994 Refugee Admissions Numbers and Authorizations of In-Country Refugee Status Pursuant to Section 207 and 101(a)(42), Respectively, of the Immigration and Nationality Act, and Determination Pursuant to Section 2(b)(2) of the Migration and Refugee Assistance Act, as Amended",,,William J. Clinton,"October 1, 1993",,19931011
49,Memorandum on the Freedom of Information Act,Memorandum for Heads of Departments and Agencies,The Freedom of Information Act,,,William J. Clinton,"October 4, 1993",,19931011
50,Memorandum on Streamlining Procurement Through Electronic Commerce,"Memorandum for the Heads of Executive Departments and Agencies, the President's Management Council",Streamlining Procurement Through Electronic Commerce,,,William J. Clinton,"October 26, 1993",,19931101
51,Memorandum on Trade With Japan,Memorandum for the United States Trade Representative,Delegation of Authority to Modify or Restrict Title VII Trade Action Taken Against Japan,,,William J. Clinton,"October 29, 1993",,19931108
52,Memorandum on Implementation of NAFTA,"Memorandum for the Secretary of State, the United States Trade Representative",Proposed North American Free Trade Agreement,,,William J. Clinton,"December 27, 1993",,19940103
53,Memorandum on Assistance to the States of the Former Soviet Union,Memorandum for the Secretary of Defense,Notification Under 10 U.S.C. 2215 for the New Independent States (NIS) of the Former Soviet Union,,,William J. Clinton,"January 8, 1994",,19940117
54,Memorandum on Assistance to the States of the Former Soviet Union,Memorandum for the Secretary of Defense,Transfer of Funds for Assistance for the New Independent States (NIS) of the Former Soviet Union,,,William J. Clinton,"January 8, 1994",,19940117
55,Memorandum on Fair Housing,Memorandum for the Heads of Executive Departments and Agencies,Federal Leadership of Fair Housing,,,William J. Clinton,"January 17, 1994",,19940124
56,Memorandum on Somalia,Memorandum for the Secretary of State,Provision of Assistance to Support the Reestablishment of Police Forces in Somalia,,,William J. Clinton,"February 1, 1994",,19940207
57,Memorandum on Trade With Vietnam,"Memorandum for the Secretary of State, the Secretary of Treasury, the Secretary of Commerce",Lifting of the Embargo Against Vietnam,,,William J. Clinton,"February 3, 1994",,19940207
58,Memorandum on Environmental Justice,Memorandum for the Heads,Executive Order on Federal Actions To Address Environmental Justice in Minority Populations and Low-Income Populations,,,William J. Clinton,"February 11, 1994",,19940214
59,Memorandum on Research Involving Human Subjects,Memorandum for the Vice President and the Heads of Executive Departments and Agencies,,,,William J. Clinton,"February 17, 1994",,19940221
60,Memorandum on the Earned-Income Tax Credit,Memorandum for All Cabinet Secretaries and Agency Heads,Earned Income Tax Credit Directive,,,William J. Clinton,"March 9, 1994",,19940314
61,Memorandum on the White House Conference on Small Business,Memorandum for the Heads of Executive Departments and Agencies,White House Conference on Small Business,,,William J. Clinton,"March 15, 1994",,19940321
62,Memorandum on Sanctions Against Serbia and Montenegro,Memorandum for the Secretary of State and the Secretary of the Treasury,Drawdown of Commodities and Services from the Inventory and Resources of the Department of the Treasury to Support Sanctions Enforcement Efforts Against Serbia and Montenegro,,,William J. Clinton,"March 16, 1994",,19940321
63,Memorandum on Sanctions Against Serbia and Montenegro,Memorandum for the Secretary of State,Provision of Assistance for Enforcement of Sanctions Against Serbia and Montenegro,,,William J. Clinton,"March 20, 1994",,19940328
64,Memorandum on Assistance to Certain States of the Former Soviet Union,Memorandum for the Secretary of State,"Eligibility of Albania, Bulgaria, Estonia, Latvia, Lithuania, and Romania To Be Furnished Defense Articles and Services Under the Foreign Assistance Act and the Arms Export Control Act",,,William J. Clinton,"March 22, 1994",,19940328
65,Memorandum on the Purchase of Highly Enriched Uranium From Russia,"Memorandum for the Secretary of the Treasury, the Chair of the Board of Directors of the United States Enrichment Corporation",Authorization to Make an Advance Payment for the Purchase of Highly Enriched Uranium from Russia,,,William J. Clinton,"March 25, 1994",,19940328
66,Memorandum on Assistance to Israel,"Memorandum for the Secretary of State, the Secretary of Defense",Military Drawdown for Israel,,,William J. Clinton,"March 30, 1994",,19940404
67,Memorandum on Assistance in the Establishment of the Palestinian Police ,"Memorandum for the Secretary of State, the Secretary of Defense",Drawdown of Commodities and Services from the Inventory and Resources of the Department of Defense to Support the Establishment of the Palestinian Police Force,,,William J. Clinton,"March 30, 1994",,19940404
68,Memorandum on Certifications for Major Narcotics Producing and Transit ,Memorandum for the Secretary of State,Certifications for Major Narcotics Producing and Transit Countries,,,William J. Clinton,"April 1, 1994",,19940411
69,Memorandum on Trade With China,Memorandum for the United States Trade Representative,Import Relief Determination Under Section 406 of the Trade Act of 1974 on Honey from the People's Republic of China,,,William J. Clinton,"April 21, 1994",,19940425
70,Memorandum on Environmentally Beneficial Landscaping,Memorandum for the Heads of Executive Departments and Agencies,Environmentally and Economically Beneficial Practices on Federal Landscaped Grounds,,,William J. Clinton,"April 26, 1994",,19940502
71,Memorandum on Distribution of Eagle Feathers for Native American ,Memorandum for the Heads of Executive Departments and Agencies,Policy Concerning Distribution of Eagle Feathers for Native American Religious Purposes,,,William J. Clinton,"April 29, 1994",,19940502
72,Memorandum on Government-to-Government Relations With Native American ,Memorandum for the Heads of Executive Departments and Agencies,Government-to-Government Relations with Native American Tribal Governments,,,William J. Clinton,"April 29, 1994",,19940502
73,Memorandum on the Migration and Refugee Assistance Act,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"May 3, 1994",,19940509
74,Memorandum on Use of Private Attorneys by the Department of Agriculture,"Memorandum for the Secretary of Agriculture, the Attorney General",,,,William J. Clinton,"May 11, 1994",,19940516
75,Memorandum on Theater Missile Defense Cooperation,Memorandum for the Secretary of Defense,Theater Missile Defense Cooperation with the Allies,,,William J. Clinton,"May 16, 1994",,19940523
76,Memorandum on the United Kingdom-United States Atomic Energy Agreement ,Memorandum for the Secretary of Defense and the Secretary of Energy,Proposed Amendment to the United States/United Kingdom Agreement for Cooperation on the Uses of Atomic Energy for Mutual Defense Purposes,,,William J. Clinton,"May 23, 1994",,19940530
77,Memorandum on Most-Favored-Nation Trade Status for China,Memorandum for the Secretary of State,"Determination Under Section 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 2, 1994",,19940606
78,Memorandum on Most-Favored-Nation Trade Status for Former Eastern Bloc ,Memorandum for the Secretary of State,"Determination Under Section 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 2, 1994",,19940606
79,Memorandum on Haiti,Memorandum for the Secretary of Transportation,Scheduled Air Service Ban,,,William J. Clinton,"June 10, 1994",,19940613
80,Memorandum on Assistance to the States of the Former Soviet Union,Memorandum for the Secretary of State,Assistance Program for the New Independent States of the Former Soviet Union,,,William J. Clinton,"June 6, 1994",,19940620
81,Memorandum on Assistance to South Africa,Memorandum for the Secretary of State,Eligibility of South Africa to be Furnished Defense Articles and Services Under the Foreign Assistance Act and the Arms Export Control Act,,,William J. Clinton,"June 27, 1994",,19940704
82,Memorandum on the Generalized System of Preferences,Memorandum for the United States Trade Representative,Actions Concerning the Generalized System of Preferences,,,William J. Clinton,"June 30, 1994",,19940704
83,Memorandum on Assistance to Haitian Refugees,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"July 2, 1994",,19940711
84,Memorandum on Expanding Family-Friendly Work Arrangements in the ,Memorandum for the Heads of Executive Departments and Agencies,Expanding Family-Friendly Work Arrangements in the Executive Branch,,,William J. Clinton,"July 11, 1994",,19940718
85,Memorandum on Radio Free Europe and Radio Liberty Relocation,Memorandum for the Secretary of State,Presidential Determination on RFE/RL Relocation,,,William J. Clinton,"July 12, 1994",,19940718
86,Memorandum on Emergency Military Assistance to the Dominican Republic,"Memorandum for the Secretary of State, the Secretary of Defense",Determination to Authorize the Furnishing of Emergency Military Assistance to the Dominican Republic Under the Foreign Assistance Act of 1961,,,William J. Clinton,"July 15, 1994",,19940718
87,Memorandum on the Presidential Design Awards,Memorandum for the Heads of Executive Departments and Agencies,Presidential Design Awards Program,,,William J. Clinton,"July 12, 1994",,19940725
88,Memorandum on Assistance to Palestinian Refugees,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(b)(2) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"July 14, 1994",,19940725
89,Memorandum on Employee Absence Due to Tropical Storm Alberto,Memorandum for the Heads of Executive Departments and Agencies,Excused Absence for Employees Affected by the Flooding Caused by Tropical Storm Alberto,,,William J. Clinton,"July 15, 1994",,19940725
90,Memorandum on Assistance to Refugees of Rwanda and Burundi,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"July 17, 1994",,19940725
91,Memorandum on Assistance to the Caucasus,Memorandum for the Secretary of Agriculture,Food Security Wheat Reserve Release,,,William J. Clinton,"July 19, 1994",,19940725
92,Memorandum on Emergency Military Assistance to the Dominican Republic,"Memorandum for the Secretary of State, the Secretary of Defense",Determination To Authorize the Furnishing of Emergency Military Assistance to the Dominican Republic Under the Foreign Assistance Act of 1961,,,William J. Clinton,"July 15, 1994",,19940801
93,Memorandum on Aviation Insurance for Commercial Air Carrier Service,"Memorandum for the Secretary of Transportation, the Secretary of State",Provision of Aviation Insurance Coverage for Commercial Air Carrier Service,,,William J. Clinton,"July 26, 1994",,19940801
94,Memorandum on Delegation of Authority,Memorandum for the Secretary of State,"Delegation of Responsibilities Under the Foreign Relations Authorization Act, Fiscal Years 1994 and 1995",,,William J. Clinton,"July 26, 1994",,19940801
95,Memorandum on the Civil Rights Working Group,Memorandum for the Heads of Executive Departments and Agencies,Civil Rights Working Group,,,William J. Clinton,"August 4, 1994",,19940808
96,Memorandum on Assistance to Nations of Central and Eastern Europe and ,Memorandum for the Secretary of State,Transfer of $1 Million in FY 1994 Foreign Military Financing Funds to the International Military Education and Training Account to Increase Programs for Countries of Central and Eastern Europe and the Former Soviet Union,,,William J. Clinton,"August 8, 1994",,19940815
97,Memorandum on Military Assistance to Jamaica,"Memorandum for the Secretary of Defense, The Secretary of State",Determination to Authorize the Furnishing of Emergency Military Assistance to Jamaica Under Section 506(a)(1) of the Foreign Assistance Act,,,William J. Clinton,"August 8, 1994",,19940815
98,Memorandum on Peacekeeping Operations and Sanctions Against Serbia and ,Memorandum for the Secretary of State,Transfer of Fiscal Year 1994 Foreign Military Financing Funds to the Peace- keeping Operations Account and Use of Funds for Enforcement of Sanctions Against Serbia and Montenegro,,,William J. Clinton,"August 18, 1994",,19940822
99,Memorandum on the 1994 Combined Federal Campaign,Memorandum for the Heads of Executive Departments and Agencies,,,,William J. Clinton,"September 9, 1994",,19940919
100,Memorandum on the Ounce of Prevention Council,"Memorandum for the Vice President, the Secretary of the Treasury, the Attorney General, the Secretary of the Interior, the Secretary of Agriculture, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Housing and Urban Development, the Secretary of Education, the Director of the Office of Management and Budget, the Director of National Drug Control Policy, the Assistant to the President for Domestic Policy",The Ounce of Prevention Council,,,William J. Clinton,"September 13, 1994",,19940919
101,Memorandum on Emigration Policies of the Russian Federation,Memorandum for the Secretary of State,"Presidential Determination Under Subsections 402(a) and 409(a) of the Trade Act of 1974, as Amended--Emigration Policies of the Russian Federation",,,William J. Clinton,"September 21, 1994",,19940926
102,Memorandum on Haiti,Memorandum for the Secretary of State,Transfer of $4.6 Million in FY 94 Foreign Military Financing Funds to the Economic Support Fund for Haiti,,,William J. Clinton,"September 30, 1994",,19941003
103,Memorandum on China,Memorandum for the Secretary of State,"Determination Under Section 2(b)(2)(D) of the Export-Import Bank Act of 1945, as amended: People's Republic of China",,,William J. Clinton,"September 30, 1994",,19941003
104,Memorandum on Guatemala,Memorandum for the Secretary of State,Transfer of $4.6 Million in FY 94 Foreign Military Financing Funds to the Economic Support Fund for Assistance for Guatemala as a Peace Fund,,,William J. Clinton,"September 30, 1994",,19941003
105,Memorandum on Assistance to Refugees From Rwanda and Burundi,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"September 30, 1994",,19941010
106,Memorandum on Federal Procurement,"Memorandum for the Heads of Executive Departments and Agencies, the President's Management Council","Continued Commitment to Small, Small Disadvantaged, and Small Women-Owned Businesses in Federal Procurement",,,William J. Clinton,"October 13, 1994",,19941017
107,"Memorandum on World AIDS Day, 1994",Memorandum for the Heads of Executive Departments and Agencies,"World AIDS Day, 1994",,,William J. Clinton,"October 21, 1994",,19941031
108,Memorandum on Implementation of Safe Schools Legislation,Memorandum for the Secretary of Education,"Implementation of the Gun-Free Schools Act of 1994, and the Safe and Drug-Free Schools and Communities Act",,,William J. Clinton,"October 22, 1994",,19941031
109,Memorandum on Funding for International Financial Institutions and ,Memorandum for the Secretary of State,"Determination Pursuant to Section 523 of the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 1995 (Public Law 103-306)",,,William J. Clinton,"November 1, 1994",,19941107
110,Memorandum on a Military Drawdown for Israel,"Memorandum for the Secretary of State, the Secretary of Defense",Military Drawdown for Israel,,,William J. Clinton,"November 1, 1994",,19941107
111,Memorandum on Serbia and Montenegro,"Memorandum for the Secretary of State,",Drawdown of Commodities and Services from the Inventory and Resources of the Department of the Treasury to Support Sanctions Enforcement Efforts Against Serbia and Montenegro,,,William J. Clinton,"November 15, 1994",,19941121
112,Memorandum on Assistance to the Independent States of the Former Soviet ,Memorandum for the Secretary of State,Assistance Program for Independent States of the Former Soviet Union,,,William J. Clinton,"November 30, 1994",,19941205
113,Memorandum on Drug Interdiction Assistance to the Government of Colombia,"Memorandum for the Secretary of State, the Secretary of Defense",Resumption of U.S. Drug Interdiction Assistance to the,,,William J. Clinton,"December 1, 1994",,19941205
114,Memorandum on Locality-Based Comparability Payments,Memorandum for the President's Pay Agent:,Locality-Based Comparability Payments,,,William J. Clinton,"November 30, 1994",,19941212
115,Memorandum on Educational Excellence for Hispanic Americans,Memorandum for the Heads of Executive Departments and Agencies,Executive Order No. 12900--Educational Excellence for Hispanic Americans,,,William J. Clinton,"December 5, 1994",,19941212
116,Memorandum on Assistance for the New Independent States of the Former ,Memorandum for the Secretary of State,Assistance Program for New Independent States of the Former Soviet Union,,,William J. Clinton,"December 6, 1994",,19941212
117,Memorandum on the Uruguay Round Agreements,Memorandum for the United States Trade Representative,Acceptance of the WTO Agreement,,,William J. Clinton,"December 23, 1994",,19941226
118,Memorandum on Assistance to Refugees of the Newly Independent States of ,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(b)(2) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"December 30, 1994",,19950109
119,Memorandum on Assistance to Haitian and Cuban Migrants,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"December 31, 1994",,19950109
120,Memorandum on Funding for Sanctions Against Serbia and Montenegro,Memorandum for the Secretary of State,Use of Peacekeeping Operations Account Funds for Enforcing the Serbia and Montenegro Sanctions Program,,,William J. Clinton,"February 6, 1995",,19950213
121,Memorandum on Illegal Immigration,Memorandum for the Heads of Executive Departments and Agencies,Deterring Illegal Immigration,,,William J. Clinton,"February 7, 1995",,19950213
122,Memorandum on Narcotics Producing and Transit Countries,Memorandum for the Secretary of State,Certifications for Major Narcotics Producing and Transit Countries,,,William J. Clinton,"February 28, 1995",,19950306
123,Memorandum on Regulatory Reform,Memorandum for Heads of Departments and Agencies,Regulatory Reinvention Initiative,,,William J. Clinton,"March 4, 1995",,19950313
124,Memorandum on Assistance to Victims of the Conflict in Chechnya,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"March 13, 1995",,19950320
125,Memorandum on Assistance to the Palestinian Police Force,"Memorandum for the Secretary of State,",Drawdown of Commodities and Services from the Inventory and Resources of the Department of Defense to Support Activities of the Palestinian Police Force,,,William J. Clinton,"March 16, 1995",,19950320
126,Memorandum on Federal Employees Affected by California Floods,Memorandum for the Heads of Executive Departments and Agencies,Excused Absence for Employees Affected by Widespread Flooding in California,,,William J. Clinton,"March 17, 1995",,19950320
127,Memorandum on the 1995 Savings Bond Campaign,Memorandum for the Heads of Executive Departments and Agencies,,,,William J. Clinton,"March 22, 1995",,19950327
128,Memorandum on the 1995 Savings Bond Campaign,Memorandum for All Federal Government Employees,,,,William J. Clinton,"March 22, 1995",,19950327
129,Memorandum on Customer Service,Memorandum for Heads of Executive Departments and Agencies,Improving Customer Service,,,William J. Clinton,"March 22, 1995",,19950327
130,Memorandum Announcing the Charter of the Special Adviser for Assistance to the New Independent States of the Former Soviet Union,Memorandum for the Heads of Executive Departments and Agencies,Charter for Special Adviser to the President and to the Secretary of State on Assistance to the New Independent States (NIS) of the Former Soviet Union and Coordinator of NIS Assistance,,,William J. Clinton,"April 4, 1995",,19950410
131,Memorandum on Employees Affected by the Oklahoma City Bombing,Memorandum for the Heads of Executive Departments and Agencies,Excused Absence for Employees Affected by the Bombing of the Federal Building in Oklahoma City,,,William J. Clinton,"April 20, 1995",,19950424
132,Memorandum on Regulatory Reform,"Memorandum for the Secretary of State; the Secretary of the Treasury; the Secretary of Defense; the Attorney General; the Secretary of the Interior; the Secretary of Agriculture; the Secretary of Commerce; the Secretary of Labor; the Secretary of Health and Human Services; the Secretary of Housing and Urban Development; the Secretary of Transportation; the Secretary of Energy; the Secretary of Education; the Secretary of Veterans Affairs; the Administrator, Environmental Protection Agency; the Administrator, Small Business Administration; the Secretary of the Army; the Secretary of the Navy; the Secretary of the Air Force; the Director, Federal Emergency Management Agency; the Administrator, National Aeronautics and Space Administration; the Director, National Science Foundation; the Acting Archivist of the United States; the Administrator of General Services; the Chair, Railroad Retirement Board; the Chairperson, Architectural and Transportation Barriers Compliance Board; the Executive Director, Pension Benefit Guaranty Corporation",Regulatory Reform--Waiver of Penalties and Reduction of Reports,,,William J. Clinton,"April 21, 1995",,19950501
